N014001| Time: 10.0764| F1: 1| Nodes: 673| NodesWithHelper: 678 | NoOfAreas: 1 / 39
N014002| Time: 8.344| F1: 1| Nodes: 563| NodesWithHelper: 566 | NoOfAreas: 2 / 39
N014003| Time: 8.1885| F1: 1| Nodes: 565| NodesWithHelper: 565 | NoOfAreas: 3 / 39
N014004| Time: 4.2114| F1: 1| Nodes: 277| NodesWithHelper: 277 | NoOfAreas: 4 / 39
N014005| Time: 2.8244| F1: 1| Nodes: 181| NodesWithHelper: 184 | NoOfAreas: 5 / 39
N014006| Time: 17.0641| F1: 42| Nodes: 1009| NodesWithHelper: 1043 | NoOfAreas: 6 / 39
N014007| Time: 3.7651| F1: 1| Nodes: 249| NodesWithHelper: 251 | NoOfAreas: 7 / 39
N014008| Time: 18.8116| F1: 2| Nodes: 1164| NodesWithHelper: 1186 | NoOfAreas: 8 / 39
N014009| Time: 7.9038| F1: 1| Nodes: 561| NodesWithHelper: 561 | NoOfAreas: 9 / 39
N014010| Time: 13.8342| F1: 12| Nodes: 920| NodesWithHelper: 938 | NoOfAreas: 10 / 39
N014011| Time: 4.4608| F1: 2| Nodes: 274| NodesWithHelper: 278 | NoOfAreas: 11 / 39
N014012| Time: 15.0929| F1: 2| Nodes: 1026| NodesWithHelper: 1040 | NoOfAreas: 12 / 39
N014013| Time: 15.5557| F1: 42| Nodes: 958| NodesWithHelper: 996 | NoOfAreas: 13 / 39
N014014| Time: 7.752| F1: 1| Nodes: 525| NodesWithHelper: 528 | NoOfAreas: 14 / 39
N014015| Time: 12.4711| F1: 2| Nodes: 817| NodesWithHelper: 833 | NoOfAreas: 15 / 39
N014016| Time: 10.3672| F1: 1| Nodes: 718| NodesWithHelper: 731 | NoOfAreas: 16 / 39
N014017| Time: 9.8827| F1: 1| Nodes: 693| NodesWithHelper: 696 | NoOfAreas: 17 / 39
N014018| Time: 15.817| F1: 1| Nodes: 1093| NodesWithHelper: 1100 | NoOfAreas: 18 / 39
N014019| Time: 13.2498| F1: 32| Nodes: 830| NodesWithHelper: 855 | NoOfAreas: 19 / 39
N014020| Time: 10.2014| F1: 2| Nodes: 692| NodesWithHelper: 710 | NoOfAreas: 20 / 39
N014021| Time: 2.42| F1: 1| Nodes: 151| NodesWithHelper: 152 | NoOfAreas: 21 / 39
N014022| Time: 4.6843| F1: 1| Nodes: 282| NodesWithHelper: 286 | NoOfAreas: 22 / 39
N014023| Time: 6.974| F1: 1| Nodes: 472| NodesWithHelper: 479 | NoOfAreas: 23 / 39
N014024| Time: 5.1269| F1: 1| Nodes: 331| NodesWithHelper: 335 | NoOfAreas: 24 / 39
N014025| Time: 8.056| F1: 1| Nodes: 567| NodesWithHelper: 569 | NoOfAreas: 25 / 39
N014026| Time: 14.0652| F1: 2| Nodes: 878| NodesWithHelper: 891 | NoOfAreas: 26 / 39
N014027| Time: 13.7255| F1: 2| Nodes: 902| NodesWithHelper: 915 | NoOfAreas: 27 / 39
N014028| Time: 2.9277| F1: 1| Nodes: 163| NodesWithHelper: 166 | NoOfAreas: 28 / 39
N014029| Time: 2.3127| F1: 1| Nodes: 145| NodesWithHelper: 145 | NoOfAreas: 29 / 39
N014030| Time: 7.5171| F1: 1| Nodes: 489| NodesWithHelper: 494 | NoOfAreas: 30 / 39
N014031| Time: 5.0572| F1: 1| Nodes: 335| NodesWithHelper: 335 | NoOfAreas: 31 / 39
N014032| Time: 11.1665| F1: 2| Nodes: 687| NodesWithHelper: 697 | NoOfAreas: 32 / 39
N014033| Time: 6.1443| F1: 1| Nodes: 337| NodesWithHelper: 340 | NoOfAreas: 33 / 39
N014034| Time: 13.2102| F1: 2| Nodes: 883| NodesWithHelper: 901 | NoOfAreas: 34 / 39
N014035| Time: 7.2732| F1: 1| Nodes: 504| NodesWithHelper: 506 | NoOfAreas: 35 / 39
N014036| Time: 9.5996| F1: 11| Nodes: 651| NodesWithHelper: 659 | NoOfAreas: 36 / 39
N014037| Time: 12.5178| F1: 1| Nodes: 845| NodesWithHelper: 858 | NoOfAreas: 37 / 39
N014038| Time: 4.2582| F1: 72| Nodes: 256| NodesWithHelper: 266 | NoOfAreas: 38 / 39
N014039| Time: 4.3908| F1: 2| Nodes: 289| NodesWithHelper: 297 | NoOfAreas: 39 / 39
MaxTime (sec): 18.8116| MinTime (sec): 2.3127| AverageTime (sec): 9.0077| TotalTime (min): 5.855
