N015001| Time: 20.4497| F1: 122| Nodes: 1132| NodesWithHelper: 1191 | NoOfAreas: 1 / 85
N015002| Time: 7.2845| F1: 132| Nodes: 407| NodesWithHelper: 446 | NoOfAreas: 2 / 85
N015003| Time: 13.4064| F1: 72| Nodes: 804| NodesWithHelper: 854 | NoOfAreas: 3 / 85
N015004| Time: 14.9164| F1: 282| Nodes: 867| NodesWithHelper: 938 | NoOfAreas: 4 / 85
N015005| Time: 8.8478| F1: 222| Nodes: 521| NodesWithHelper: 558 | NoOfAreas: 5 / 85
N015006| Time: 7.3593| F1: 22| Nodes: 438| NodesWithHelper: 471 | NoOfAreas: 6 / 85
N015007| Time: 8.3247| F1: 1| Nodes: 551| NodesWithHelper: 555 | NoOfAreas: 7 / 85
N015008| Time: 5.0358| F1: 2| Nodes: 263| NodesWithHelper: 278 | NoOfAreas: 8 / 85
N015009| Time: 6.8962| F1: 52| Nodes: 404| NodesWithHelper: 418 | NoOfAreas: 9 / 85
N015010| Time: 9.5115| F1: 62| Nodes: 592| NodesWithHelper: 624 | NoOfAreas: 10 / 85
N015011| Time: 10.5183| F1: 71| Nodes: 674| NodesWithHelper: 693 | NoOfAreas: 11 / 85
N015012| Time: 5.4483| F1: 2| Nodes: 347| NodesWithHelper: 359 | NoOfAreas: 12 / 85
N015013| Time: 11.9071| F1: 322| Nodes: 647| NodesWithHelper: 705 | NoOfAreas: 13 / 85
N015014| Time: 10.8597| F1: 42| Nodes: 676| NodesWithHelper: 695 | NoOfAreas: 14 / 85
N015015| Time: 9.0314| F1: 62| Nodes: 529| NodesWithHelper: 583 | NoOfAreas: 15 / 85
N015016| Time: 3.3636| F1: 132| Nodes: 174| NodesWithHelper: 198 | NoOfAreas: 16 / 85
N015017| Time: 12.6744| F1: 32| Nodes: 749| NodesWithHelper: 808 | NoOfAreas: 17 / 85
N015018| Time: 5.0214| F1: 2| Nodes: 306| NodesWithHelper: 325 | NoOfAreas: 18 / 85
N015019| Time: 3.9394| F1: 1| Nodes: 236| NodesWithHelper: 248 | NoOfAreas: 19 / 85
N015020| Time: 10.1704| F1: 252| Nodes: 579| NodesWithHelper: 634 | NoOfAreas: 20 / 85
N015021| Time: 4.4064| F1: 1| Nodes: 278| NodesWithHelper: 286 | NoOfAreas: 21 / 85
N015022| Time: 17.176| F1: 412| Nodes: 867| NodesWithHelper: 959 | NoOfAreas: 22 / 85
N015023| Time: 2.338| F1: 1| Nodes: 132| NodesWithHelper: 139 | NoOfAreas: 23 / 85
N015024| Time: 4.6082| F1: 41| Nodes: 281| NodesWithHelper: 290 | NoOfAreas: 24 / 85
N015025| Time: 2.6139| F1: 1| Nodes: 159| NodesWithHelper: 161 | NoOfAreas: 25 / 85
N015026| Time: 7.4615| F1: 92| Nodes: 443| NodesWithHelper: 471 | NoOfAreas: 26 / 85
N015027| Time: 6.9854| F1: 52| Nodes: 424| NodesWithHelper: 474 | NoOfAreas: 27 / 85
N015028| Time: 3.9363| F1: 2| Nodes: 246| NodesWithHelper: 253 | NoOfAreas: 28 / 85
N015029| Time: 13.7195| F1: 172| Nodes: 820| NodesWithHelper: 873 | NoOfAreas: 29 / 85
N015030| Time: 12.8704| F1: 12| Nodes: 687| NodesWithHelper: 705 | NoOfAreas: 30 / 85
N015031| Time: 3.3831| F1: 2| Nodes: 207| NodesWithHelper: 218 | NoOfAreas: 31 / 85
N015032| Time: 18.5607| F1: 332| Nodes: 939| NodesWithHelper: 1031 | NoOfAreas: 32 / 85
N015033| Time: 3.2089| F1: 1| Nodes: 200| NodesWithHelper: 205 | NoOfAreas: 33 / 85
N015034| Time: 14.5188| F1: 122| Nodes: 841| NodesWithHelper: 906 | NoOfAreas: 34 / 85
N015035| Time: 5.35| F1: 1| Nodes: 323| NodesWithHelper: 341 | NoOfAreas: 35 / 85
N015036| Time: 13.4082| F1: 192| Nodes: 741| NodesWithHelper: 808 | NoOfAreas: 36 / 85
N015037| Time: 14.3762| F1: 362| Nodes: 754| NodesWithHelper: 838 | NoOfAreas: 37 / 85
N015038| Time: 8.8405| F1: 42| Nodes: 531| NodesWithHelper: 571 | NoOfAreas: 38 / 85
N015039| Time: 9.8432| F1: 112| Nodes: 555| NodesWithHelper: 597 | NoOfAreas: 39 / 85
N015040| Time: 16.8002| F1: 462| Nodes: 841| NodesWithHelper: 953 | NoOfAreas: 40 / 85
N015041| Time: 7.0168| F1: 193| Nodes: 371| NodesWithHelper: 416 | NoOfAreas: 41 / 85
N015042| Time: 3.9468| F1: 82| Nodes: 217| NodesWithHelper: 236 | NoOfAreas: 42 / 85
N015043| Time: 7.4528| F1: 82| Nodes: 467| NodesWithHelper: 490 | NoOfAreas: 43 / 85
N015044| Time: 3.437| F1: 12| Nodes: 203| NodesWithHelper: 215 | NoOfAreas: 44 / 85
N015045| Time: 3.3248| F1: 2| Nodes: 190| NodesWithHelper: 199 | NoOfAreas: 45 / 85
N015046| Time: 4.5117| F1: 2| Nodes: 270| NodesWithHelper: 283 | NoOfAreas: 46 / 85
N015047| Time: 14.6597| F1: 252| Nodes: 849| NodesWithHelper: 888 | NoOfAreas: 47 / 85
N015048| Time: 5.3542| F1: 2| Nodes: 304| NodesWithHelper: 317 | NoOfAreas: 48 / 85
N015049| Time: 15.0582| F1: 262| Nodes: 831| NodesWithHelper: 917 | NoOfAreas: 49 / 85
N015050| Time: 3.6079| F1: 11| Nodes: 216| NodesWithHelper: 221 | NoOfAreas: 50 / 85
N015051| Time: 9.2223| F1: 202| Nodes: 513| NodesWithHelper: 558 | NoOfAreas: 51 / 85
N015052| Time: 9.1659| F1: 2| Nodes: 583| NodesWithHelper: 601 | NoOfAreas: 52 / 85
N015053| Time: 23.6956| F1: 332| Nodes: 1112| NodesWithHelper: 1220 | NoOfAreas: 53 / 85
N015054| Time: 5.7731| F1: 2| Nodes: 304| NodesWithHelper: 316 | NoOfAreas: 54 / 85
N015055| Time: 10.6883| F1: 42| Nodes: 624| NodesWithHelper: 682 | NoOfAreas: 55 / 85
N015056| Time: 8.2534| F1: 42| Nodes: 481| NodesWithHelper: 533 | NoOfAreas: 56 / 85
N015057| Time: 5.0227| F1: 12| Nodes: 295| NodesWithHelper: 320 | NoOfAreas: 57 / 85
N015058| Time: 11.9861| F1: 12| Nodes: 775| NodesWithHelper: 802 | NoOfAreas: 58 / 85
N015059| Time: 11.7524| F1: 152| Nodes: 682| NodesWithHelper: 733 | NoOfAreas: 59 / 85
N015060| Time: 14.1753| F1: 322| Nodes: 747| NodesWithHelper: 844 | NoOfAreas: 60 / 85
N015061| Time: 9.0647| F1: 182| Nodes: 524| NodesWithHelper: 571 | NoOfAreas: 61 / 85
N015062| Time: 10.6421| F1: 222| Nodes: 567| NodesWithHelper: 621 | NoOfAreas: 62 / 85
N015063| Time: 11.4669| F1: 112| Nodes: 603| NodesWithHelper: 664 | NoOfAreas: 63 / 85
N015064| Time: 11.7928| F1: 52| Nodes: 705| NodesWithHelper: 745 | NoOfAreas: 64 / 85
N015065| Time: 3.623| F1: 2| Nodes: 213| NodesWithHelper: 224 | NoOfAreas: 65 / 85
N015066| Time: 2.0849| F1: 1| Nodes: 115| NodesWithHelper: 120 | NoOfAreas: 66 / 85
N015067| Time: 2.4976| F1: 2| Nodes: 114| NodesWithHelper: 118 | NoOfAreas: 67 / 85
N015068| Time: 3.0224| F1: 2| Nodes: 188| NodesWithHelper: 199 | NoOfAreas: 68 / 85
N015069| Time: 1.1277| F1: 2| Nodes: 37| NodesWithHelper: 39 | NoOfAreas: 69 / 85
N015070| Time: 3.945| F1: 11| Nodes: 234| NodesWithHelper: 250 | NoOfAreas: 70 / 85
N015071| Time: 1.1241| F1: 1| Nodes: 39| NodesWithHelper: 39 | NoOfAreas: 71 / 85
N015072| Time: 2.4246| F1: 2| Nodes: 139| NodesWithHelper: 151 | NoOfAreas: 72 / 85
N015073| Time: 3.8108| F1: 1| Nodes: 230| NodesWithHelper: 235 | NoOfAreas: 73 / 85
N015074| Time: 1.0208| F1: 1| Nodes: 37| NodesWithHelper: 37 | NoOfAreas: 74 / 85
N015075| Time: 4.8557| F1: 1| Nodes: 303| NodesWithHelper: 305 | NoOfAreas: 75 / 85
N015076| Time: 4.9317| F1: 132| Nodes: 292| NodesWithHelper: 315 | NoOfAreas: 76 / 85
N015077| Time: 2.2265| F1: 12| Nodes: 121| NodesWithHelper: 131 | NoOfAreas: 77 / 85
N015078| Time: 2.0287| F1: 2| Nodes: 108| NodesWithHelper: 116 | NoOfAreas: 78 / 85
N015079| Time: 2.4681| F1: 52| Nodes: 137| NodesWithHelper: 144 | NoOfAreas: 79 / 85
N015080| Time: 4.0398| F1: 51| Nodes: 233| NodesWithHelper: 239 | NoOfAreas: 80 / 85
N015081| Time: 8.1973| F1: 62| Nodes: 492| NodesWithHelper: 531 | NoOfAreas: 81 / 85
N015082| Time: 2.6296| F1: 1| Nodes: 161| NodesWithHelper: 161 | NoOfAreas: 82 / 85
N015083| Time: 3.441| F1: 12| Nodes: 176| NodesWithHelper: 194 | NoOfAreas: 83 / 85
N015084| Time: 1.6098| F1: 1| Nodes: 87| NodesWithHelper: 87 | NoOfAreas: 84 / 85
N015085| Time: 2.5856| F1: 3| Nodes: 104| NodesWithHelper: 110 | NoOfAreas: 85 / 85
MaxTime (sec): 23.6956| MinTime (sec): 1.0208| AverageTime (sec): 7.6957| TotalTime (min): 10.9023
