N018001| Time: 5.7885| F1: 12| Nodes: 351| NodesWithHelper: 364 | NoOfAreas: 1 / 74
N018002| Time: 5.1309| F1: 42| Nodes: 293| NodesWithHelper: 309 | NoOfAreas: 2 / 74
N018003| Time: 4.5826| F1: 23| Nodes: 238| NodesWithHelper: 263 | NoOfAreas: 3 / 74
N018004| Time: 7.583| F1: 62| Nodes: 452| NodesWithHelper: 473 | NoOfAreas: 4 / 74
N018005| Time: 2.0126| F1: 1| Nodes: 74| NodesWithHelper: 74 | NoOfAreas: 5 / 74
N018006| Time: 9.4466| F1: 12| Nodes: 551| NodesWithHelper: 566 | NoOfAreas: 6 / 74
N018007| Time: 10.9297| F1: 1| Nodes: 587| NodesWithHelper: 592 | NoOfAreas: 7 / 74
N018008| Time: 8.2759| F1: 12| Nodes: 494| NodesWithHelper: 515 | NoOfAreas: 8 / 74
N018009| Time: 4.5144| F1: 52| Nodes: 253| NodesWithHelper: 272 | NoOfAreas: 9 / 74
N018010| Time: 5.0383| F1: 12| Nodes: 262| NodesWithHelper: 274 | NoOfAreas: 10 / 74
N018011| Time: 4.1147| F1: 11| Nodes: 240| NodesWithHelper: 250 | NoOfAreas: 11 / 74
N018012| Time: 4.9379| F1: 62| Nodes: 269| NodesWithHelper: 286 | NoOfAreas: 12 / 74
N018013| Time: 10.6593| F1: 2| Nodes: 639| NodesWithHelper: 664 | NoOfAreas: 13 / 74
N018014| Time: 1.1569| F1: 3| Nodes: 31| NodesWithHelper: 34 | NoOfAreas: 14 / 74
N018015| Time: 8.8687| F1: 62| Nodes: 505| NodesWithHelper: 531 | NoOfAreas: 15 / 74
N018016| Time: 6.3217| F1: 2| Nodes: 386| NodesWithHelper: 399 | NoOfAreas: 16 / 74
N018017| Time: 7.5524| F1: 12| Nodes: 455| NodesWithHelper: 475 | NoOfAreas: 17 / 74
N018018| Time: 4.9361| F1: 42| Nodes: 291| NodesWithHelper: 307 | NoOfAreas: 18 / 74
N018019| Time: 0.69735| F1: 1| Nodes: 7| NodesWithHelper: 7 | NoOfAreas: 19 / 74
N018020| Time: 6.6729| F1: 52| Nodes: 314| NodesWithHelper: 365 | NoOfAreas: 20 / 74
N018021| Time: 9.9513| F1: 2| Nodes: 625| NodesWithHelper: 642 | NoOfAreas: 21 / 74
N018022| Time: 3.3737| F1: 1| Nodes: 186| NodesWithHelper: 188 | NoOfAreas: 22 / 74
N018023| Time: 8.3422| F1: 1| Nodes: 552| NodesWithHelper: 555 | NoOfAreas: 23 / 74
N018024| Time: 12.6993| F1: 72| Nodes: 718| NodesWithHelper: 757 | NoOfAreas: 24 / 74
N018025| Time: 2.9804| F1: 1| Nodes: 144| NodesWithHelper: 147 | NoOfAreas: 25 / 74
N018026| Time: 9.9546| F1: 1| Nodes: 649| NodesWithHelper: 659 | NoOfAreas: 26 / 74
N018027| Time: 7.0276| F1: 81| Nodes: 448| NodesWithHelper: 466 | NoOfAreas: 27 / 74
N018028| Time: 4.9625| F1: 2| Nodes: 307| NodesWithHelper: 311 | NoOfAreas: 28 / 74
N018029| Time: 7.1347| F1: 12| Nodes: 460| NodesWithHelper: 476 | NoOfAreas: 29 / 74
N018030| Time: 7.2466| F1: 52| Nodes: 439| NodesWithHelper: 453 | NoOfAreas: 30 / 74
N018031| Time: 2.2008| F1: 1| Nodes: 119| NodesWithHelper: 119 | NoOfAreas: 31 / 74
N018032| Time: 1.8503| F1: 1| Nodes: 89| NodesWithHelper: 89 | NoOfAreas: 32 / 74
N018033| Time: 7.801| F1: 22| Nodes: 488| NodesWithHelper: 506 | NoOfAreas: 33 / 74
N018034| Time: 4.579| F1: 1| Nodes: 270| NodesWithHelper: 270 | NoOfAreas: 34 / 74
N018035| Time: 13.1149| F1: 102| Nodes: 754| NodesWithHelper: 797 | NoOfAreas: 35 / 74
N018036| Time: 0.61073| F1: 2| Nodes: 5| NodesWithHelper: 5 | NoOfAreas: 36 / 74
N018037| Time: 15.603| F1: 42| Nodes: 1019| NodesWithHelper: 1035 | NoOfAreas: 37 / 74
N018038| Time: 3.0645| F1: 1| Nodes: 157| NodesWithHelper: 158 | NoOfAreas: 38 / 74
N018039| Time: 14.3646| F1: 92| Nodes: 839| NodesWithHelper: 884 | NoOfAreas: 39 / 74
N018040| Time: 4.4725| F1: 52| Nodes: 248| NodesWithHelper: 266 | NoOfAreas: 40 / 74
N018041| Time: 3.8625| F1: 1| Nodes: 244| NodesWithHelper: 250 | NoOfAreas: 41 / 74
N018042| Time: 5.5803| F1: 2| Nodes: 354| NodesWithHelper: 365 | NoOfAreas: 42 / 74
N018043| Time: 13.896| F1: 62| Nodes: 830| NodesWithHelper: 858 | NoOfAreas: 43 / 74
N018044| Time: 8.2483| F1: 2| Nodes: 518| NodesWithHelper: 535 | NoOfAreas: 44 / 74
N018045| Time: 7.3889| F1: 1| Nodes: 465| NodesWithHelper: 476 | NoOfAreas: 45 / 74
N018046| Time: 8.7331| F1: 12| Nodes: 544| NodesWithHelper: 559 | NoOfAreas: 46 / 74
N018047| Time: 8.404| F1: 52| Nodes: 493| NodesWithHelper: 526 | NoOfAreas: 47 / 74
N018048| Time: 2.2085| F1: 1| Nodes: 132| NodesWithHelper: 132 | NoOfAreas: 48 / 74
N018049| Time: 12.8131| F1: 152| Nodes: 683| NodesWithHelper: 711 | NoOfAreas: 49 / 74
N018050| Time: 4.9545| F1: 2| Nodes: 220| NodesWithHelper: 231 | NoOfAreas: 50 / 74
N018051| Time: 7.2516| F1: 12| Nodes: 415| NodesWithHelper: 424 | NoOfAreas: 51 / 74
N018052| Time: 3.3321| F1: 1| Nodes: 159| NodesWithHelper: 162 | NoOfAreas: 52 / 74
N018053| Time: 3.6845| F1: 52| Nodes: 151| NodesWithHelper: 175 | NoOfAreas: 53 / 74
N018054| Time: 4.1595| F1: 1| Nodes: 226| NodesWithHelper: 228 | NoOfAreas: 54 / 74
N018055| Time: 5.5248| F1: 2| Nodes: 309| NodesWithHelper: 318 | NoOfAreas: 55 / 74
N018056| Time: 2.4134| F1: 2| Nodes: 125| NodesWithHelper: 143 | NoOfAreas: 56 / 74
N018057| Time: 1.6432| F1: 1| Nodes: 72| NodesWithHelper: 74 | NoOfAreas: 57 / 74
N018058| Time: 4.4406| F1: 1| Nodes: 279| NodesWithHelper: 281 | NoOfAreas: 58 / 74
N018059| Time: 1.683| F1: 1| Nodes: 85| NodesWithHelper: 86 | NoOfAreas: 59 / 74
