N011001| Time: 4.4568| F1: 1| Nodes: 369| NodesWithHelper: 376 | NoOfAreas: 1 / 106
N011002| Time: 3.2419| F1: 2| Nodes: 271| NodesWithHelper: 276 | NoOfAreas: 2 / 106
N011003| Time: 8.3197| F1: 152| Nodes: 661| NodesWithHelper: 696 | NoOfAreas: 3 / 106
N011004| Time: 14.9559| F1: 132| Nodes: 1164| NodesWithHelper: 1213 | NoOfAreas: 4 / 106
N011005| Time: 4.7003| F1: 11| Nodes: 390| NodesWithHelper: 401 | NoOfAreas: 5 / 106
N011006| Time: 2.7189| F1: 2| Nodes: 221| NodesWithHelper: 227 | NoOfAreas: 6 / 106
N011007| Time: 7.1548| F1: 22| Nodes: 577| NodesWithHelper: 593 | NoOfAreas: 7 / 106
N011008| Time: 3.9842| F1: 2| Nodes: 339| NodesWithHelper: 342 | NoOfAreas: 8 / 106
N011009| Time: 4.2658| F1: 2| Nodes: 353| NodesWithHelper: 360 | NoOfAreas: 9 / 106
N011010| Time: 5.5405| F1: 1| Nodes: 484| NodesWithHelper: 491 | NoOfAreas: 10 / 106
N011011| Time: 10.5902| F1: 122| Nodes: 864| NodesWithHelper: 906 | NoOfAreas: 11 / 106
N011012| Time: 4.2732| F1: 2| Nodes: 356| NodesWithHelper: 369 | NoOfAreas: 12 / 106
N011013| Time: 9.4754| F1: 122| Nodes: 731| NodesWithHelper: 779 | NoOfAreas: 13 / 106
N011014| Time: 11.1236| F1: 72| Nodes: 817| NodesWithHelper: 865 | NoOfAreas: 14 / 106
N011015| Time: 9.0371| F1: 112| Nodes: 713| NodesWithHelper: 758 | NoOfAreas: 15 / 106
N011016| Time: 5.8314| F1: 1| Nodes: 485| NodesWithHelper: 495 | NoOfAreas: 16 / 106
N011017| Time: 2.211| F1: 1| Nodes: 186| NodesWithHelper: 188 | NoOfAreas: 17 / 106
N011018| Time: 5.9983| F1: 42| Nodes: 508| NodesWithHelper: 532 | NoOfAreas: 18 / 106
N011019| Time: 6.3153| F1: 192| Nodes: 486| NodesWithHelper: 533 | NoOfAreas: 19 / 106
N011020| Time: 11.2563| F1: 12| Nodes: 823| NodesWithHelper: 847 | NoOfAreas: 20 / 106
N011021| Time: 7.6272| F1: 2| Nodes: 638| NodesWithHelper: 669 | NoOfAreas: 21 / 106
N011022| Time: 7.7944| F1: 22| Nodes: 674| NodesWithHelper: 691 | NoOfAreas: 22 / 106
N011023| Time: 4.505| F1: 51| Nodes: 376| NodesWithHelper: 383 | NoOfAreas: 23 / 106
N011024| Time: 8.8682| F1: 1| Nodes: 773| NodesWithHelper: 788 | NoOfAreas: 24 / 106
N011025| Time: 4.8359| F1: 12| Nodes: 404| NodesWithHelper: 423 | NoOfAreas: 25 / 106
N011026| Time: 3.0048| F1: 2| Nodes: 231| NodesWithHelper: 239 | NoOfAreas: 26 / 106
N011027| Time: 5.5719| F1: 1| Nodes: 483| NodesWithHelper: 500 | NoOfAreas: 27 / 106
N011028| Time: 8.4529| F1: 112| Nodes: 670| NodesWithHelper: 705 | NoOfAreas: 28 / 106
N011029| Time: 2.3331| F1: 1| Nodes: 188| NodesWithHelper: 193 | NoOfAreas: 29 / 106
N011030| Time: 10.7441| F1: 1| Nodes: 877| NodesWithHelper: 904 | NoOfAreas: 30 / 106
N011031| Time: 3.6588| F1: 41| Nodes: 293| NodesWithHelper: 307 | NoOfAreas: 31 / 106
N011032| Time: 3.6325| F1: 1| Nodes: 278| NodesWithHelper: 292 | NoOfAreas: 32 / 106
N011033| Time: 8.8576| F1: 102| Nodes: 640| NodesWithHelper: 683 | NoOfAreas: 33 / 106
N011034| Time: 2.7879| F1: 1| Nodes: 232| NodesWithHelper: 234 | NoOfAreas: 34 / 106
N011035| Time: 11.1858| F1: 142| Nodes: 860| NodesWithHelper: 912 | NoOfAreas: 35 / 106
N011036| Time: 4.4018| F1: 12| Nodes: 347| NodesWithHelper: 357 | NoOfAreas: 36 / 106
N011037| Time: 11.0356| F1: 122| Nodes: 841| NodesWithHelper: 894 | NoOfAreas: 37 / 106
N011038| Time: 4.268| F1: 12| Nodes: 355| NodesWithHelper: 371 | NoOfAreas: 38 / 106
N011039| Time: 4.1576| F1: 2| Nodes: 362| NodesWithHelper: 372 | NoOfAreas: 39 / 106
N011040| Time: 5.1747| F1: 52| Nodes: 422| NodesWithHelper: 437 | NoOfAreas: 40 / 106
N011041| Time: 9.4624| F1: 42| Nodes: 751| NodesWithHelper: 777 | NoOfAreas: 41 / 106
N011042| Time: 5.7829| F1: 22| Nodes: 473| NodesWithHelper: 487 | NoOfAreas: 42 / 106
N011043| Time: 6.8793| F1: 42| Nodes: 604| NodesWithHelper: 622 | NoOfAreas: 43 / 106
N011044| Time: 1.2507| F1: 1| Nodes: 94| NodesWithHelper: 94 | NoOfAreas: 44 / 106
N011045| Time: 2.8532| F1: 2| Nodes: 229| NodesWithHelper: 249 | NoOfAreas: 45 / 106
N011046| Time: 5.7327| F1: 41| Nodes: 493| NodesWithHelper: 499 | NoOfAreas: 46 / 106
N011047| Time: 18.4671| F1: 202| Nodes: 1212| NodesWithHelper: 1286 | NoOfAreas: 47 / 106
N011048| Time: 7.2345| F1: 22| Nodes: 624| NodesWithHelper: 644 | NoOfAreas: 48 / 106
N011049| Time: 11.1536| F1: 212| Nodes: 856| NodesWithHelper: 899 | NoOfAreas: 49 / 106
N011050| Time: 3.4719| F1: 2| Nodes: 280| NodesWithHelper: 293 | NoOfAreas: 50 / 106
N011051| Time: 9.2059| F1: 2| Nodes: 755| NodesWithHelper: 787 | NoOfAreas: 51 / 106
N011052| Time: 4.479| F1: 2| Nodes: 266| NodesWithHelper: 275 | NoOfAreas: 52 / 106
N011053| Time: 9.7928| F1: 102| Nodes: 633| NodesWithHelper: 659 | NoOfAreas: 53 / 106
N011054| Time: 6.6655| F1: 2| Nodes: 451| NodesWithHelper: 461 | NoOfAreas: 54 / 106
N011055| Time: 2.0428| F1: 2| Nodes: 98| NodesWithHelper: 103 | NoOfAreas: 55 / 106
N011056| Time: 13.3481| F1: 12| Nodes: 827| NodesWithHelper: 854 | NoOfAreas: 56 / 106
N011057| Time: 6.6328| F1: 2| Nodes: 393| NodesWithHelper: 399 | NoOfAreas: 57 / 106
N011058| Time: 11.9087| F1: 12| Nodes: 755| NodesWithHelper: 783 | NoOfAreas: 58 / 106
N011059| Time: 6.2611| F1: 62| Nodes: 389| NodesWithHelper: 404 | NoOfAreas: 59 / 106
N011060| Time: 11.581| F1: 22| Nodes: 739| NodesWithHelper: 771 | NoOfAreas: 60 / 106
N011061| Time: 5.1783| F1: 22| Nodes: 306| NodesWithHelper: 332 | NoOfAreas: 61 / 106
N011062| Time: 5.9167| F1: 2| Nodes: 390| NodesWithHelper: 398 | NoOfAreas: 62 / 106
N011063| Time: 2.2377| F1: 1| Nodes: 121| NodesWithHelper: 124 | NoOfAreas: 63 / 106
N011064| Time: 1.8351| F1: 1| Nodes: 100| NodesWithHelper: 104 | NoOfAreas: 64 / 106
N011065| Time: 4.7333| F1: 41| Nodes: 317| NodesWithHelper: 324 | NoOfAreas: 65 / 106
N011066| Time: 5.9714| F1: 2| Nodes: 334| NodesWithHelper: 346 | NoOfAreas: 66 / 106
N011067| Time: 4.8229| F1: 31| Nodes: 266| NodesWithHelper: 274 | NoOfAreas: 67 / 106
N011068| Time: 7.7194| F1: 1| Nodes: 478| NodesWithHelper: 485 | NoOfAreas: 68 / 106
N011069| Time: 5.0007| F1: 1| Nodes: 321| NodesWithHelper: 330 | NoOfAreas: 69 / 106
N011070| Time: 11.4812| F1: 92| Nodes: 686| NodesWithHelper: 719 | NoOfAreas: 70 / 106
N011071| Time: 9.0439| F1: 163| Nodes: 506| NodesWithHelper: 555 | NoOfAreas: 71 / 106
N011072| Time: 5.9063| F1: 12| Nodes: 396| NodesWithHelper: 407 | NoOfAreas: 72 / 106
N011073| Time: 7.7087| F1: 42| Nodes: 490| NodesWithHelper: 505 | NoOfAreas: 73 / 106
N011074| Time: 5.5085| F1: 1| Nodes: 370| NodesWithHelper: 372 | NoOfAreas: 74 / 106
N011075| Time: 6.0378| F1: 1| Nodes: 393| NodesWithHelper: 396 | NoOfAreas: 75 / 106
N011076| Time: 10.3363| F1: 11| Nodes: 665| NodesWithHelper: 685 | NoOfAreas: 76 / 106
N011077| Time: 7.5768| F1: 42| Nodes: 488| NodesWithHelper: 504 | NoOfAreas: 77 / 106
N011078| Time: 3.3851| F1: 1| Nodes: 220| NodesWithHelper: 221 | NoOfAreas: 78 / 106
N011079| Time: 2.8663| F1: 1| Nodes: 176| NodesWithHelper: 178 | NoOfAreas: 79 / 106
N011080| Time: 23.349| F1: 442| Nodes: 1124| NodesWithHelper: 1207 | NoOfAreas: 80 / 106
N011081| Time: 10.0015| F1: 22| Nodes: 653| NodesWithHelper: 676 | NoOfAreas: 81 / 106
N011082| Time: 13.105| F1: 82| Nodes: 779| NodesWithHelper: 825 | NoOfAreas: 82 / 106
N011083| Time: 11.156| F1: 22| Nodes: 701| NodesWithHelper: 732 | NoOfAreas: 83 / 106
N011084| Time: 8.4059| F1: 92| Nodes: 523| NodesWithHelper: 552 | NoOfAreas: 84 / 106
N011085| Time: 17.5051| F1: 473| Nodes: 894| NodesWithHelper: 997 | NoOfAreas: 85 / 106
N011086| Time: 2.8389| F1: 2| Nodes: 155| NodesWithHelper: 157 | NoOfAreas: 86 / 106
N011087| Time: 7.0374| F1: 2| Nodes: 465| NodesWithHelper: 482 | NoOfAreas: 87 / 106
N011088| Time: 5.4868| F1: 2| Nodes: 345| NodesWithHelper: 350 | NoOfAreas: 88 / 106
N011089| Time: 3.9545| F1: 41| Nodes: 246| NodesWithHelper: 252 | NoOfAreas: 89 / 106
N011090| Time: 4.4203| F1: 1| Nodes: 271| NodesWithHelper: 278 | NoOfAreas: 90 / 106
N011091| Time: 5.88| F1: 11| Nodes: 379| NodesWithHelper: 385 | NoOfAreas: 91 / 106
N011092| Time: 8.2734| F1: 112| Nodes: 518| NodesWithHelper: 554 | NoOfAreas: 92 / 106
N011093| Time: 6.2972| F1: 22| Nodes: 395| NodesWithHelper: 421 | NoOfAreas: 93 / 106
N011094| Time: 5.2444| F1: 2| Nodes: 346| NodesWithHelper: 352 | NoOfAreas: 94 / 106
N011095| Time: 12.4134| F1: 22| Nodes: 633| NodesWithHelper: 667 | NoOfAreas: 95 / 106
N011096| Time: 9.118| F1: 1| Nodes: 480| NodesWithHelper: 486 | NoOfAreas: 96 / 106
N011097| Time: 3.3514| F1: 1| Nodes: 198| NodesWithHelper: 208 | NoOfAreas: 97 / 106
N011098| Time: 2.8996| F1: 1| Nodes: 187| NodesWithHelper: 188 | NoOfAreas: 98 / 106
N011099| Time: 6.5868| F1: 1| Nodes: 434| NodesWithHelper: 440 | NoOfAreas: 99 / 106
N011100| Time: 2.416| F1: 1| Nodes: 135| NodesWithHelper: 137 | NoOfAreas: 100 / 106
N011101| Time: 2.4232| F1: 1| Nodes: 131| NodesWithHelper: 131 | NoOfAreas: 101 / 106
N011102| Time: 3.7477| F1: 1| Nodes: 234| NodesWithHelper: 236 | NoOfAreas: 102 / 106
N011103| Time: 1.1513| F1: 1| Nodes: 55| NodesWithHelper: 55 | NoOfAreas: 103 / 106
N011104| Time: 8.6786| F1: 12| Nodes: 572| NodesWithHelper: 591 | NoOfAreas: 104 / 106
N011105| Time: 4.1215| F1: 1| Nodes: 241| NodesWithHelper: 248 | NoOfAreas: 105 / 106
N011106| Time: 1.4451| F1: 1| Nodes: 70| NodesWithHelper: 70 | NoOfAreas: 106 / 106
MaxTime (sec): 23.349| MinTime (sec): 1.1513| AverageTime (sec): 6.7654| TotalTime (min): 11.9521
