N009001| Time: 2.8484| F1: 2| Nodes: 216| NodesWithHelper: 223 | NoOfAreas: 1 / 48
N009002| Time: 2.2268| F1: 1| Nodes: 135| NodesWithHelper: 135 | NoOfAreas: 2 / 48
N009003| Time: 2.2593| F1: 1| Nodes: 163| NodesWithHelper: 168 | NoOfAreas: 3 / 48
N009004| Time: 5.14| F1: 102| Nodes: 358| NodesWithHelper: 397 | NoOfAreas: 4 / 48
N009005| Time: 21.9962| F1: 643| Nodes: 1125| NodesWithHelper: 1277 | NoOfAreas: 5 / 48
N009006| Time: 2.7639| F1: 73| Nodes: 173| NodesWithHelper: 201 | NoOfAreas: 6 / 48
N009007| Time: 9.0674| F1: 32| Nodes: 738| NodesWithHelper: 776 | NoOfAreas: 7 / 48
N009008| Time: 5.9616| F1: 12| Nodes: 521| NodesWithHelper: 531 | NoOfAreas: 8 / 48
N009009| Time: 7.4634| F1: 52| Nodes: 605| NodesWithHelper: 628 | NoOfAreas: 9 / 48
N009010| Time: 3.7195| F1: 2| Nodes: 304| NodesWithHelper: 321 | NoOfAreas: 10 / 48
N009011| Time: 5.7804| F1: 192| Nodes: 441| NodesWithHelper: 486 | NoOfAreas: 11 / 48
N009012| Time: 7.9138| F1: 11| Nodes: 690| NodesWithHelper: 700 | NoOfAreas: 12 / 48
N009013| Time: 3.4454| F1: 41| Nodes: 272| NodesWithHelper: 285 | NoOfAreas: 13 / 48
N009014| Time: 3.5453| F1: 52| Nodes: 289| NodesWithHelper: 305 | NoOfAreas: 14 / 48
N009015| Time: 8.1035| F1: 283| Nodes: 535| NodesWithHelper: 604 | NoOfAreas: 15 / 48
N009016| Time: 2.5205| F1: 52| Nodes: 184| NodesWithHelper: 203 | NoOfAreas: 16 / 48
N009017| Time: 4.4897| F1: 1| Nodes: 365| NodesWithHelper: 375 | NoOfAreas: 17 / 48
N009018| Time: 13.5982| F1: 643| Nodes: 802| NodesWithHelper: 937 | NoOfAreas: 18 / 48
N009019| Time: 3.7549| F1: 12| Nodes: 296| NodesWithHelper: 316 | NoOfAreas: 19 / 48
N009020| Time: 6.4936| F1: 122| Nodes: 493| NodesWithHelper: 537 | NoOfAreas: 20 / 48
N009021| Time: 9.5078| F1: 52| Nodes: 773| NodesWithHelper: 801 | NoOfAreas: 21 / 48
N009022| Time: 4.8672| F1: 2| Nodes: 425| NodesWithHelper: 441 | NoOfAreas: 22 / 48
N009023| Time: 10.4846| F1: 142| Nodes: 732| NodesWithHelper: 803 | NoOfAreas: 23 / 48
N009024| Time: 4.1882| F1: 62| Nodes: 322| NodesWithHelper: 351 | NoOfAreas: 24 / 48
N009025| Time: 10.0068| F1: 132| Nodes: 758| NodesWithHelper: 808 | NoOfAreas: 25 / 48
N009026| Time: 0.40466| F1: 3| Nodes: 4| NodesWithHelper: 6 | NoOfAreas: 26 / 48
N009027| Time: 4.0579| F1: 2| Nodes: 349| NodesWithHelper: 360 | NoOfAreas: 27 / 48
N009028| Time: 2.0079| F1: 1| Nodes: 164| NodesWithHelper: 167 | NoOfAreas: 28 / 48
N009029| Time: 10.3018| F1: 32| Nodes: 743| NodesWithHelper: 782 | NoOfAreas: 29 / 48
N009030| Time: 11.4548| F1: 132| Nodes: 843| NodesWithHelper: 890 | NoOfAreas: 30 / 48
N009031| Time: 2.3955| F1: 12| Nodes: 182| NodesWithHelper: 201 | NoOfAreas: 31 / 48
N009032| Time: 5.2718| F1: 42| Nodes: 436| NodesWithHelper: 457 | NoOfAreas: 32 / 48
N009033| Time: 8.0528| F1: 52| Nodes: 642| NodesWithHelper: 672 | NoOfAreas: 33 / 48
N009034| Time: 3.9645| F1: 1| Nodes: 328| NodesWithHelper: 339 | NoOfAreas: 34 / 48
N009035| Time: 6.0675| F1: 32| Nodes: 512| NodesWithHelper: 522 | NoOfAreas: 35 / 48
N009036| Time: 3.518| F1: 2| Nodes: 300| NodesWithHelper: 309 | NoOfAreas: 36 / 48
N009037| Time: 10.4791| F1: 292| Nodes: 733| NodesWithHelper: 812 | NoOfAreas: 37 / 48
N009038| Time: 6.8007| F1: 42| Nodes: 566| NodesWithHelper: 590 | NoOfAreas: 38 / 48
N009039| Time: 4.9565| F1: 1| Nodes: 435| NodesWithHelper: 444 | NoOfAreas: 39 / 48
N009040| Time: 8.7489| F1: 513| Nodes: 522| NodesWithHelper: 615 | NoOfAreas: 40 / 48
N009041| Time: 6.6636| F1: 12| Nodes: 544| NodesWithHelper: 590 | NoOfAreas: 41 / 48
N009042| Time: 4.1124| F1: 62| Nodes: 306| NodesWithHelper: 332 | NoOfAreas: 42 / 48
N009043| Time: 5.1558| F1: 42| Nodes: 427| NodesWithHelper: 445 | NoOfAreas: 43 / 48
N009044| Time: 2.5248| F1: 51| Nodes: 187| NodesWithHelper: 195 | NoOfAreas: 44 / 48
N009045| Time: 6.3261| F1: 72| Nodes: 499| NodesWithHelper: 536 | NoOfAreas: 45 / 48
N009046| Time: 0.88375| F1: 2| Nodes: 53| NodesWithHelper: 57 | NoOfAreas: 46 / 48
N009047| Time: 6.5791| F1: 82| Nodes: 543| NodesWithHelper: 564 | NoOfAreas: 47 / 48
N009048| Time: 1.63| F1: 1| Nodes: 121| NodesWithHelper: 121 | NoOfAreas: 48 / 48
MaxTime (sec): 21.9962| MinTime (sec): 0.40466| AverageTime (sec): 5.9272| TotalTime (min): 4.7417
