N026001| Time: 4.4478| F1: 2| Nodes: 308| NodesWithHelper: 327 | NoOfAreas: 1 / 90
N026002| Time: 6.0382| F1: 2| Nodes: 495| NodesWithHelper: 509 | NoOfAreas: 2 / 90
N026003| Time: 2.902| F1: 12| Nodes: 222| NodesWithHelper: 231 | NoOfAreas: 3 / 90
N026004| Time: 6.8471| F1: 12| Nodes: 556| NodesWithHelper: 582 | NoOfAreas: 4 / 90
N026005| Time: 3.8648| F1: 2| Nodes: 294| NodesWithHelper: 302 | NoOfAreas: 5 / 90
N026006| Time: 4.8215| F1: 2| Nodes: 395| NodesWithHelper: 400 | NoOfAreas: 6 / 90
N026007| Time: 3.9351| F1: 2| Nodes: 304| NodesWithHelper: 319 | NoOfAreas: 7 / 90
N026008| Time: 4.6266| F1: 91| Nodes: 380| NodesWithHelper: 393 | NoOfAreas: 8 / 90
N026009| Time: 3.5212| F1: 2| Nodes: 219| NodesWithHelper: 229 | NoOfAreas: 9 / 90
N026010| Time: 1.7832| F1: 2| Nodes: 89| NodesWithHelper: 96 | NoOfAreas: 10 / 90
N026011| Time: 6.5733| F1: 2| Nodes: 435| NodesWithHelper: 451 | NoOfAreas: 11 / 90
N026012| Time: 2.4647| F1: 2| Nodes: 148| NodesWithHelper: 154 | NoOfAreas: 12 / 90
N026013| Time: 5.2696| F1: 12| Nodes: 422| NodesWithHelper: 432 | NoOfAreas: 13 / 90
N026014| Time: 2.0491| F1: 2| Nodes: 136| NodesWithHelper: 147 | NoOfAreas: 14 / 90
N026015| Time: 4.8899| F1: 52| Nodes: 365| NodesWithHelper: 381 | NoOfAreas: 15 / 90
N026016| Time: 4.0997| F1: 1| Nodes: 319| NodesWithHelper: 323 | NoOfAreas: 16 / 90
N026017| Time: 3.5664| F1: 2| Nodes: 277| NodesWithHelper: 283 | NoOfAreas: 17 / 90
N026018| Time: 6.0159| F1: 2| Nodes: 483| NodesWithHelper: 490 | NoOfAreas: 18 / 90
N026019| Time: 9.201| F1: 172| Nodes: 685| NodesWithHelper: 733 | NoOfAreas: 19 / 90
N026020| Time: 4.6692| F1: 12| Nodes: 362| NodesWithHelper: 386 | NoOfAreas: 20 / 90
N026021| Time: 3.0924| F1: 12| Nodes: 244| NodesWithHelper: 252 | NoOfAreas: 21 / 90
N026022| Time: 4.945| F1: 1| Nodes: 375| NodesWithHelper: 381 | NoOfAreas: 22 / 90
N026023| Time: 3.8666| F1: 1| Nodes: 322| NodesWithHelper: 330 | NoOfAreas: 23 / 90
N026024| Time: 5.2848| F1: 12| Nodes: 428| NodesWithHelper: 441 | NoOfAreas: 24 / 90
N026025| Time: 0.87108| F1: 1| Nodes: 52| NodesWithHelper: 52 | NoOfAreas: 25 / 90
N026026| Time: 5.3237| F1: 2| Nodes: 405| NodesWithHelper: 431 | NoOfAreas: 26 / 90
