N016001| Time: 1.5335| F1: 2| Nodes: 62| NodesWithHelper: 62 | NoOfAreas: 1 / 58
N016002| Time: 12.1739| F1: 42| Nodes: 747| NodesWithHelper: 772 | NoOfAreas: 2 / 58
N016003| Time: 4.7538| F1: 1| Nodes: 312| NodesWithHelper: 317 | NoOfAreas: 3 / 58
N016004| Time: 6.1796| F1: 22| Nodes: 359| NodesWithHelper: 385 | NoOfAreas: 4 / 58
N016005| Time: 7.3815| F1: 72| Nodes: 481| NodesWithHelper: 501 | NoOfAreas: 5 / 58
N016006| Time: 3.6747| F1: 2| Nodes: 234| NodesWithHelper: 244 | NoOfAreas: 6 / 58
N016007| Time: 3.0891| F1: 2| Nodes: 119| NodesWithHelper: 121 | NoOfAreas: 7 / 58
N016008| Time: 3.5427| F1: 12| Nodes: 191| NodesWithHelper: 207 | NoOfAreas: 8 / 58
N016009| Time: 5.1001| F1: 2| Nodes: 302| NodesWithHelper: 317 | NoOfAreas: 9 / 58
N016010| Time: 4.4385| F1: 2| Nodes: 275| NodesWithHelper: 284 | NoOfAreas: 10 / 58
N016011| Time: 7.075| F1: 2| Nodes: 462| NodesWithHelper: 476 | NoOfAreas: 11 / 58
N016012| Time: 5.6159| F1: 12| Nodes: 346| NodesWithHelper: 360 | NoOfAreas: 12 / 58
N016013| Time: 6.1829| F1: 1| Nodes: 403| NodesWithHelper: 405 | NoOfAreas: 13 / 58
N016014| Time: 6.4168| F1: 2| Nodes: 404| NodesWithHelper: 419 | NoOfAreas: 14 / 58
N016015| Time: 6.1653| F1: 2| Nodes: 388| NodesWithHelper: 401 | NoOfAreas: 15 / 58
N016016| Time: 4.526| F1: 12| Nodes: 268| NodesWithHelper: 285 | NoOfAreas: 16 / 58
N016017| Time: 7.2666| F1: 12| Nodes: 455| NodesWithHelper: 475 | NoOfAreas: 17 / 58
N016018| Time: 8.9898| F1: 42| Nodes: 565| NodesWithHelper: 586 | NoOfAreas: 18 / 58
N016019| Time: 3.4044| F1: 1| Nodes: 199| NodesWithHelper: 206 | NoOfAreas: 19 / 58
N016020| Time: 7.6605| F1: 2| Nodes: 480| NodesWithHelper: 497 | NoOfAreas: 20 / 58
N016021| Time: 9.5631| F1: 41| Nodes: 616| NodesWithHelper: 630 | NoOfAreas: 21 / 58
N016022| Time: 2.1202| F1: 2| Nodes: 110| NodesWithHelper: 123 | NoOfAreas: 22 / 58
N016023| Time: 6.9379| F1: 12| Nodes: 431| NodesWithHelper: 442 | NoOfAreas: 23 / 58
N016024| Time: 10.8491| F1: 52| Nodes: 698| NodesWithHelper: 713 | NoOfAreas: 24 / 58
N016025| Time: 8.836| F1: 382| Nodes: 462| NodesWithHelper: 521 | NoOfAreas: 25 / 58
N016026| Time: 3.2343| F1: 2| Nodes: 180| NodesWithHelper: 188 | NoOfAreas: 26 / 58
N016027| Time: 7.3706| F1: 32| Nodes: 459| NodesWithHelper: 483 | NoOfAreas: 27 / 58
N016028| Time: 4.4177| F1: 1| Nodes: 280| NodesWithHelper: 284 | NoOfAreas: 28 / 58
N016029| Time: 4.9721| F1: 1| Nodes: 314| NodesWithHelper: 318 | NoOfAreas: 29 / 58
N016030| Time: 8.1905| F1: 2| Nodes: 510| NodesWithHelper: 519 | NoOfAreas: 30 / 58
N016031| Time: 5.8116| F1: 1| Nodes: 380| NodesWithHelper: 389 | NoOfAreas: 31 / 58
N016032| Time: 3.0975| F1: 1| Nodes: 176| NodesWithHelper: 178 | NoOfAreas: 32 / 58
N016033| Time: 4.3854| F1: 2| Nodes: 275| NodesWithHelper: 280 | NoOfAreas: 33 / 58
N016034| Time: 6.7244| F1: 11| Nodes: 446| NodesWithHelper: 455 | NoOfAreas: 34 / 58
N016035| Time: 8.1472| F1: 2| Nodes: 534| NodesWithHelper: 550 | NoOfAreas: 35 / 58
N016036| Time: 7.1548| F1: 22| Nodes: 464| NodesWithHelper: 481 | NoOfAreas: 36 / 58
N016037| Time: 8.9669| F1: 2| Nodes: 508| NodesWithHelper: 520 | NoOfAreas: 37 / 58
N016038| Time: 10.8196| F1: 32| Nodes: 631| NodesWithHelper: 655 | NoOfAreas: 38 / 58
