N006001| Time: 6.3064| F1: 52| Nodes: 465| NodesWithHelper: 502 | NoOfAreas: 1 / 81
N006002| Time: 1.7704| F1: 12| Nodes: 118| NodesWithHelper: 126 | NoOfAreas: 2 / 81
N006003| Time: 2.606| F1: 12| Nodes: 194| NodesWithHelper: 210 | NoOfAreas: 3 / 81
N006004| Time: 5.0942| F1: 72| Nodes: 428| NodesWithHelper: 445 | NoOfAreas: 4 / 81
N006005| Time: 2.6745| F1: 1| Nodes: 183| NodesWithHelper: 185 | NoOfAreas: 5 / 81
N006006| Time: 3.324| F1: 2| Nodes: 288| NodesWithHelper: 294 | NoOfAreas: 6 / 81
N006007| Time: 8.0576| F1: 103| Nodes: 598| NodesWithHelper: 650 | NoOfAreas: 7 / 81
N006008| Time: 9.3453| F1: 52| Nodes: 738| NodesWithHelper: 775 | NoOfAreas: 8 / 81
N006009| Time: 5.666| F1: 2| Nodes: 479| NodesWithHelper: 505 | NoOfAreas: 9 / 81
N006010| Time: 11.3869| F1: 142| Nodes: 826| NodesWithHelper: 871 | NoOfAreas: 10 / 81
N006011| Time: 2.7473| F1: 2| Nodes: 217| NodesWithHelper: 230 | NoOfAreas: 11 / 81
N006012| Time: 4.7459| F1: 12| Nodes: 393| NodesWithHelper: 409 | NoOfAreas: 12 / 81
N006013| Time: 10.0658| F1: 42| Nodes: 817| NodesWithHelper: 844 | NoOfAreas: 13 / 81
N006014| Time: 3.4311| F1: 42| Nodes: 245| NodesWithHelper: 269 | NoOfAreas: 14 / 81
N006015| Time: 4.6236| F1: 12| Nodes: 376| NodesWithHelper: 401 | NoOfAreas: 15 / 81
N006016| Time: 4.6278| F1: 12| Nodes: 355| NodesWithHelper: 383 | NoOfAreas: 16 / 81
N006017| Time: 4.2592| F1: 2| Nodes: 365| NodesWithHelper: 380 | NoOfAreas: 17 / 81
N006018| Time: 4.9364| F1: 102| Nodes: 354| NodesWithHelper: 397 | NoOfAreas: 18 / 81
N006019| Time: 6.6031| F1: 42| Nodes: 542| NodesWithHelper: 570 | NoOfAreas: 19 / 81
N006020| Time: 3.6779| F1: 2| Nodes: 311| NodesWithHelper: 328 | NoOfAreas: 20 / 81
N006021| Time: 10.2403| F1: 313| Nodes: 691| NodesWithHelper: 772 | NoOfAreas: 21 / 81
N006022| Time: 2.7842| F1: 2| Nodes: 218| NodesWithHelper: 233 | NoOfAreas: 22 / 81
N006023| Time: 5.6435| F1: 72| Nodes: 429| NodesWithHelper: 464 | NoOfAreas: 23 / 81
N006024| Time: 6.2652| F1: 62| Nodes: 488| NodesWithHelper: 514 | NoOfAreas: 24 / 81
N006025| Time: 6.9556| F1: 123| Nodes: 509| NodesWithHelper: 557 | NoOfAreas: 25 / 81
N006026| Time: 1.5888| F1: 2| Nodes: 113| NodesWithHelper: 121 | NoOfAreas: 26 / 81
N006027| Time: 5.5136| F1: 32| Nodes: 435| NodesWithHelper: 463 | NoOfAreas: 27 / 81
N006028| Time: 4.5719| F1: 72| Nodes: 362| NodesWithHelper: 384 | NoOfAreas: 28 / 81
N006029| Time: 4.9093| F1: 82| Nodes: 390| NodesWithHelper: 417 | NoOfAreas: 29 / 81
N006030| Time: 5.5515| F1: 122| Nodes: 419| NodesWithHelper: 449 | NoOfAreas: 30 / 81
N006031| Time: 15.7502| F1: 172| Nodes: 1046| NodesWithHelper: 1117 | NoOfAreas: 31 / 81
N006032| Time: 3.3354| F1: 72| Nodes: 256| NodesWithHelper: 277 | NoOfAreas: 32 / 81
N006033| Time: 5.0183| F1: 42| Nodes: 426| NodesWithHelper: 446 | NoOfAreas: 33 / 81
N006034| Time: 5.6174| F1: 122| Nodes: 423| NodesWithHelper: 461 | NoOfAreas: 34 / 81
N006035| Time: 6.5244| F1: 162| Nodes: 466| NodesWithHelper: 512 | NoOfAreas: 35 / 81
N006036| Time: 8.2145| F1: 92| Nodes: 628| NodesWithHelper: 676 | NoOfAreas: 36 / 81
N006037| Time: 4.4347| F1: 2| Nodes: 389| NodesWithHelper: 401 | NoOfAreas: 37 / 81
N006038| Time: 6.6819| F1: 132| Nodes: 559| NodesWithHelper: 582 | NoOfAreas: 38 / 81
N006039| Time: 3.4491| F1: 2| Nodes: 264| NodesWithHelper: 278 | NoOfAreas: 39 / 81
N006040| Time: 1.9631| F1: 2| Nodes: 144| NodesWithHelper: 151 | NoOfAreas: 40 / 81
N006041| Time: 8.1231| F1: 443| Nodes: 542| NodesWithHelper: 622 | NoOfAreas: 41 / 81
N006042| Time: 5.2876| F1: 12| Nodes: 456| NodesWithHelper: 468 | NoOfAreas: 42 / 81
N006043| Time: 5.9869| F1: 42| Nodes: 504| NodesWithHelper: 516 | NoOfAreas: 43 / 81
N006044| Time: 4.6754| F1: 12| Nodes: 384| NodesWithHelper: 394 | NoOfAreas: 44 / 81
N006045| Time: 4.1598| F1: 42| Nodes: 328| NodesWithHelper: 352 | NoOfAreas: 45 / 81
N006046| Time: 3.9184| F1: 132| Nodes: 286| NodesWithHelper: 314 | NoOfAreas: 46 / 81
N006047| Time: 4.4875| F1: 42| Nodes: 380| NodesWithHelper: 403 | NoOfAreas: 47 / 81
N006048| Time: 5.239| F1: 22| Nodes: 410| NodesWithHelper: 440 | NoOfAreas: 48 / 81
N006049| Time: 7.6378| F1: 102| Nodes: 626| NodesWithHelper: 662 | NoOfAreas: 49 / 81
N006050| Time: 5.323| F1: 103| Nodes: 395| NodesWithHelper: 435 | NoOfAreas: 50 / 81
N006051| Time: 7.4568| F1: 122| Nodes: 577| NodesWithHelper: 616 | NoOfAreas: 51 / 81
N006052| Time: 1.0893| F1: 2| Nodes: 65| NodesWithHelper: 76 | NoOfAreas: 52 / 81
N006053| Time: 1.6572| F1: 1| Nodes: 111| NodesWithHelper: 115 | NoOfAreas: 53 / 81
N006054| Time: 0.9367| F1: 1| Nodes: 55| NodesWithHelper: 55 | NoOfAreas: 54 / 81
N006055| Time: 5.8762| F1: 22| Nodes: 471| NodesWithHelper: 501 | NoOfAreas: 55 / 81
N006056| Time: 2.5937| F1: 2| Nodes: 209| NodesWithHelper: 218 | NoOfAreas: 56 / 81
N006057| Time: 10.8006| F1: 92| Nodes: 723| NodesWithHelper: 769 | NoOfAreas: 57 / 81
N006058| Time: 6.6669| F1: 32| Nodes: 539| NodesWithHelper: 576 | NoOfAreas: 58 / 81
N006059| Time: 5.4573| F1: 82| Nodes: 436| NodesWithHelper: 468 | NoOfAreas: 59 / 81
N006060| Time: 4.9834| F1: 92| Nodes: 408| NodesWithHelper: 430 | NoOfAreas: 60 / 81
N006061| Time: 5.6904| F1: 52| Nodes: 479| NodesWithHelper: 499 | NoOfAreas: 61 / 81
N006062| Time: 4.1349| F1: 22| Nodes: 324| NodesWithHelper: 351 | NoOfAreas: 62 / 81
N006063| Time: 0.98117| F1: 1| Nodes: 70| NodesWithHelper: 70 | NoOfAreas: 63 / 81
N006064| Time: 4.8592| F1: 223| Nodes: 327| NodesWithHelper: 367 | NoOfAreas: 64 / 81
N006065| Time: 4.4332| F1: 12| Nodes: 315| NodesWithHelper: 345 | NoOfAreas: 65 / 81
N006066| Time: 11.5405| F1: 453| Nodes: 628| NodesWithHelper: 707 | NoOfAreas: 66 / 81
N006067| Time: 5.9493| F1: 72| Nodes: 372| NodesWithHelper: 395 | NoOfAreas: 67 / 81
N006068| Time: 5.5511| F1: 1| Nodes: 497| NodesWithHelper: 503 | NoOfAreas: 68 / 81
N006069| Time: 7.297| F1: 142| Nodes: 529| NodesWithHelper: 590 | NoOfAreas: 69 / 81
N006070| Time: 4.2142| F1: 2| Nodes: 347| NodesWithHelper: 363 | NoOfAreas: 70 / 81
N006071| Time: 6.8989| F1: 52| Nodes: 553| NodesWithHelper: 592 | NoOfAreas: 71 / 81
