N020001| Time: 6.5918| F1: 72| Nodes: 470| NodesWithHelper: 514 | NoOfAreas: 1 / 64
N020002| Time: 3.0312| F1: 2| Nodes: 232| NodesWithHelper: 239 | NoOfAreas: 2 / 64
N020003| Time: 3.7355| F1: 2| Nodes: 301| NodesWithHelper: 306 | NoOfAreas: 3 / 64
N020004| Time: 6.0456| F1: 2| Nodes: 527| NodesWithHelper: 536 | NoOfAreas: 4 / 64
N020005| Time: 1.3072| F1: 1| Nodes: 88| NodesWithHelper: 88 | NoOfAreas: 5 / 64
N020006| Time: 13.0851| F1: 2| Nodes: 1102| NodesWithHelper: 1126 | NoOfAreas: 6 / 64
N020007| Time: 8.2155| F1: 32| Nodes: 710| NodesWithHelper: 734 | NoOfAreas: 7 / 64
N020008| Time: 3.1517| F1: 2| Nodes: 278| NodesWithHelper: 281 | NoOfAreas: 8 / 64
N020009| Time: 2.0592| F1: 2| Nodes: 162| NodesWithHelper: 167 | NoOfAreas: 9 / 64
N020010| Time: 5.6596| F1: 2| Nodes: 488| NodesWithHelper: 503 | NoOfAreas: 10 / 64
N020011| Time: 8.2299| F1: 62| Nodes: 676| NodesWithHelper: 710 | NoOfAreas: 11 / 64
N020012| Time: 9.7049| F1: 132| Nodes: 759| NodesWithHelper: 796 | NoOfAreas: 12 / 64
N020013| Time: 3.0242| F1: 1| Nodes: 270| NodesWithHelper: 273 | NoOfAreas: 13 / 64
N020014| Time: 4.2874| F1: 2| Nodes: 370| NodesWithHelper: 375 | NoOfAreas: 14 / 64
N020015| Time: 9.5253| F1: 142| Nodes: 759| NodesWithHelper: 801 | NoOfAreas: 15 / 64
N020016| Time: 4.0615| F1: 1| Nodes: 344| NodesWithHelper: 347 | NoOfAreas: 16 / 64
N020017| Time: 7.3542| F1: 2| Nodes: 686| NodesWithHelper: 694 | NoOfAreas: 17 / 64
N020018| Time: 4.7027| F1: 2| Nodes: 405| NodesWithHelper: 413 | NoOfAreas: 18 / 64
N020019| Time: 3.1748| F1: 1| Nodes: 262| NodesWithHelper: 263 | NoOfAreas: 19 / 64
N020020| Time: 4.6139| F1: 1| Nodes: 416| NodesWithHelper: 421 | NoOfAreas: 20 / 64
N020021| Time: 3.4393| F1: 2| Nodes: 293| NodesWithHelper: 299 | NoOfAreas: 21 / 64
N020022| Time: 5.4796| F1: 2| Nodes: 480| NodesWithHelper: 497 | NoOfAreas: 22 / 64
N020023| Time: 20.4249| F1: 132| Nodes: 1420| NodesWithHelper: 1486 | NoOfAreas: 23 / 64
N020024| Time: 9.6845| F1: 22| Nodes: 836| NodesWithHelper: 855 | NoOfAreas: 24 / 64
N020025| Time: 1.6728| F1: 1| Nodes: 125| NodesWithHelper: 125 | NoOfAreas: 25 / 64
N020026| Time: 4.2113| F1: 2| Nodes: 355| NodesWithHelper: 362 | NoOfAreas: 26 / 64
N020027| Time: 5.4727| F1: 11| Nodes: 473| NodesWithHelper: 482 | NoOfAreas: 27 / 64
N020028| Time: 1.2543| F1: 1| Nodes: 87| NodesWithHelper: 87 | NoOfAreas: 28 / 64
N020029| Time: 1.9586| F1: 1| Nodes: 149| NodesWithHelper: 155 | NoOfAreas: 29 / 64
N020030| Time: 10.3435| F1: 2| Nodes: 882| NodesWithHelper: 906 | NoOfAreas: 30 / 64
N020031| Time: 2.2939| F1: 1| Nodes: 186| NodesWithHelper: 186 | NoOfAreas: 31 / 64
N020032| Time: 3.492| F1: 2| Nodes: 289| NodesWithHelper: 299 | NoOfAreas: 32 / 64
N020033| Time: 3.1647| F1: 1| Nodes: 249| NodesWithHelper: 250 | NoOfAreas: 33 / 64
N020034| Time: 7.1302| F1: 11| Nodes: 616| NodesWithHelper: 627 | NoOfAreas: 34 / 64
N020035| Time: 3.9016| F1: 1| Nodes: 322| NodesWithHelper: 331 | NoOfAreas: 35 / 64
N020036| Time: 7.9454| F1: 2| Nodes: 699| NodesWithHelper: 711 | NoOfAreas: 36 / 64
N020037| Time: 4.7942| F1: 1| Nodes: 405| NodesWithHelper: 406 | NoOfAreas: 37 / 64
N020038| Time: 8.1539| F1: 2| Nodes: 738| NodesWithHelper: 748 | NoOfAreas: 38 / 64
N020039| Time: 5.1781| F1: 12| Nodes: 459| NodesWithHelper: 470 | NoOfAreas: 39 / 64
N020040| Time: 10.5304| F1: 82| Nodes: 856| NodesWithHelper: 888 | NoOfAreas: 40 / 64
N020041| Time: 5.4765| F1: 2| Nodes: 482| NodesWithHelper: 496 | NoOfAreas: 41 / 64
N020042| Time: 9.931| F1: 62| Nodes: 861| NodesWithHelper: 882 | NoOfAreas: 42 / 64
N020043| Time: 2.1011| F1: 2| Nodes: 184| NodesWithHelper: 188 | NoOfAreas: 43 / 64
N020044| Time: 5.0001| F1: 1| Nodes: 440| NodesWithHelper: 452 | NoOfAreas: 44 / 64
N020045| Time: 4.6264| F1: 42| Nodes: 362| NodesWithHelper: 384 | NoOfAreas: 45 / 64
N020046| Time: 2.2642| F1: 1| Nodes: 177| NodesWithHelper: 179 | NoOfAreas: 46 / 64
N020047| Time: 9.0615| F1: 12| Nodes: 749| NodesWithHelper: 776 | NoOfAreas: 47 / 64
N020048| Time: 5.0314| F1: 1| Nodes: 446| NodesWithHelper: 449 | NoOfAreas: 48 / 64
N020049| Time: 5.9126| F1: 2| Nodes: 512| NodesWithHelper: 523 | NoOfAreas: 49 / 64
N020050| Time: 3.4892| F1: 1| Nodes: 314| NodesWithHelper: 320 | NoOfAreas: 50 / 64
N020051| Time: 10.2112| F1: 2| Nodes: 762| NodesWithHelper: 767 | NoOfAreas: 51 / 64
N020052| Time: 3.8525| F1: 1| Nodes: 321| NodesWithHelper: 325 | NoOfAreas: 52 / 64
N020053| Time: 2.6059| F1: 1| Nodes: 223| NodesWithHelper: 223 | NoOfAreas: 53 / 64
N020054| Time: 1.9458| F1: 2| Nodes: 148| NodesWithHelper: 155 | NoOfAreas: 54 / 64
N020055| Time: 2.7274| F1: 1| Nodes: 226| NodesWithHelper: 228 | NoOfAreas: 55 / 64
N020056| Time: 1.7909| F1: 1| Nodes: 114| NodesWithHelper: 116 | NoOfAreas: 56 / 64
N020057| Time: 2.33| F1: 1| Nodes: 186| NodesWithHelper: 189 | NoOfAreas: 57 / 64
N020058| Time: 2.1817| F1: 2| Nodes: 169| NodesWithHelper: 175 | NoOfAreas: 58 / 64
N020059| Time: 1.1429| F1: 1| Nodes: 66| NodesWithHelper: 67 | NoOfAreas: 59 / 64
N020060| Time: 2.7127| F1: 1| Nodes: 211| NodesWithHelper: 212 | NoOfAreas: 60 / 64
N020061| Time: 1.8693| F1: 2| Nodes: 120| NodesWithHelper: 126 | NoOfAreas: 61 / 64
N020062| Time: 3.4897| F1: 2| Nodes: 267| NodesWithHelper: 274 | NoOfAreas: 62 / 64
N020063| Time: 1.3771| F1: 1| Nodes: 96| NodesWithHelper: 96 | NoOfAreas: 63 / 64
N020064| Time: 0.87343| F1: 1| Nodes: 40| NodesWithHelper: 40 | NoOfAreas: 64 / 64
MaxTime (sec): 20.4249| MinTime (sec): 0.87343| AverageTime (sec): 5.0639| TotalTime (min): 5.4015
