N008001| Time: 5.673| F1: 2| Nodes: 401| NodesWithHelper: 410 | NoOfAreas: 1 / 56
N008002| Time: 4.0528| F1: 52| Nodes: 299| NodesWithHelper: 321 | NoOfAreas: 2 / 56
N008003| Time: 9.9386| F1: 142| Nodes: 724| NodesWithHelper: 778 | NoOfAreas: 3 / 56
N008004| Time: 15.3589| F1: 62| Nodes: 1121| NodesWithHelper: 1163 | NoOfAreas: 4 / 56
N008005| Time: 5.6212| F1: 62| Nodes: 433| NodesWithHelper: 473 | NoOfAreas: 5 / 56
N008006| Time: 12.2675| F1: 342| Nodes: 855| NodesWithHelper: 924 | NoOfAreas: 6 / 56
N008007| Time: 8.7255| F1: 192| Nodes: 664| NodesWithHelper: 712 | NoOfAreas: 7 / 56
N008008| Time: 3.1115| F1: 1| Nodes: 270| NodesWithHelper: 273 | NoOfAreas: 8 / 56
N008009| Time: 12.3448| F1: 112| Nodes: 886| NodesWithHelper: 957 | NoOfAreas: 9 / 56
N008010| Time: 12.6744| F1: 42| Nodes: 997| NodesWithHelper: 1027 | NoOfAreas: 10 / 56
N008011| Time: 3.5213| F1: 1| Nodes: 289| NodesWithHelper: 302 | NoOfAreas: 11 / 56
N008012| Time: 10.1911| F1: 132| Nodes: 790| NodesWithHelper: 817 | NoOfAreas: 12 / 56
N008013| Time: 5.4818| F1: 2| Nodes: 474| NodesWithHelper: 491 | NoOfAreas: 13 / 56
N008014| Time: 6.0561| F1: 12| Nodes: 508| NodesWithHelper: 527 | NoOfAreas: 14 / 56
N008015| Time: 13.6374| F1: 152| Nodes: 1061| NodesWithHelper: 1101 | NoOfAreas: 15 / 56
N008016| Time: 17.9897| F1: 322| Nodes: 1249| NodesWithHelper: 1322 | NoOfAreas: 16 / 56
N008017| Time: 7.7931| F1: 32| Nodes: 647| NodesWithHelper: 672 | NoOfAreas: 17 / 56
N008018| Time: 6.2636| F1: 22| Nodes: 507| NodesWithHelper: 535 | NoOfAreas: 18 / 56
N008019| Time: 3.1152| F1: 12| Nodes: 246| NodesWithHelper: 258 | NoOfAreas: 19 / 56
