N024001| Time: 2.969| F1: 11| Nodes: 215| NodesWithHelper: 220 | NoOfAreas: 1 / 123
N024002| Time: 4.105| F1: 222| Nodes: 278| NodesWithHelper: 313 | NoOfAreas: 2 / 123
N024003| Time: 2.6646| F1: 92| Nodes: 194| NodesWithHelper: 214 | NoOfAreas: 3 / 123
N024004| Time: 0.72398| F1: 1| Nodes: 22| NodesWithHelper: 22 | NoOfAreas: 4 / 123
N024005| Time: 3.3575| F1: 2| Nodes: 253| NodesWithHelper: 265 | NoOfAreas: 5 / 123
N024006| Time: 2.4017| F1: 1| Nodes: 185| NodesWithHelper: 187 | NoOfAreas: 6 / 123
N024007| Time: 4.2045| F1: 102| Nodes: 301| NodesWithHelper: 331 | NoOfAreas: 7 / 123
N024008| Time: 10.6356| F1: 452| Nodes: 690| NodesWithHelper: 803 | NoOfAreas: 8 / 123
N024009| Time: 7.1018| F1: 232| Nodes: 546| NodesWithHelper: 585 | NoOfAreas: 9 / 123
N024010| Time: 7.1078| F1: 102| Nodes: 535| NodesWithHelper: 599 | NoOfAreas: 10 / 123
N024011| Time: 6.6576| F1: 132| Nodes: 517| NodesWithHelper: 562 | NoOfAreas: 11 / 123
N024012| Time: 8.574| F1: 132| Nodes: 608| NodesWithHelper: 674 | NoOfAreas: 12 / 123
N024013| Time: 5.1946| F1: 132| Nodes: 401| NodesWithHelper: 442 | NoOfAreas: 13 / 123
N024014| Time: 5.3404| F1: 52| Nodes: 403| NodesWithHelper: 450 | NoOfAreas: 14 / 123
N024015| Time: 8.5266| F1: 112| Nodes: 632| NodesWithHelper: 686 | NoOfAreas: 15 / 123
N024016| Time: 2.5665| F1: 1| Nodes: 195| NodesWithHelper: 200 | NoOfAreas: 16 / 123
N024017| Time: 8.1557| F1: 232| Nodes: 555| NodesWithHelper: 630 | NoOfAreas: 17 / 123
N024018| Time: 8.5533| F1: 172| Nodes: 609| NodesWithHelper: 669 | NoOfAreas: 18 / 123
N024019| Time: 5.7403| F1: 42| Nodes: 458| NodesWithHelper: 485 | NoOfAreas: 19 / 123
