N005001| Time: 9.9864| F1: 282| Nodes: 674| NodesWithHelper: 736 | NoOfAreas: 1 / 109
N005002| Time: 15.3671| F1: 303| Nodes: 1023| NodesWithHelper: 1103 | NoOfAreas: 2 / 109
N005003| Time: 5.6468| F1: 172| Nodes: 434| NodesWithHelper: 482 | NoOfAreas: 3 / 109
N005004| Time: 4.5972| F1: 42| Nodes: 396| NodesWithHelper: 415 | NoOfAreas: 4 / 109
N005005| Time: 3.0071| F1: 272| Nodes: 211| NodesWithHelper: 250 | NoOfAreas: 5 / 109
N005006| Time: 2.1093| F1: 1| Nodes: 165| NodesWithHelper: 168 | NoOfAreas: 6 / 109
N005007| Time: 0.69118| F1: 1| Nodes: 35| NodesWithHelper: 35 | NoOfAreas: 7 / 109
N005008| Time: 8.4547| F1: 373| Nodes: 633| NodesWithHelper: 693 | NoOfAreas: 8 / 109
N005009| Time: 20.4649| F1: 322| Nodes: 1304| NodesWithHelper: 1420 | NoOfAreas: 9 / 109
N005010| Time: 1.6894| F1: 2| Nodes: 135| NodesWithHelper: 144 | NoOfAreas: 10 / 109
N005011| Time: 6.6903| F1: 32| Nodes: 578| NodesWithHelper: 601 | NoOfAreas: 11 / 109
N005012| Time: 14.3461| F1: 362| Nodes: 1034| NodesWithHelper: 1123 | NoOfAreas: 12 / 109
N005013| Time: 3.282| F1: 32| Nodes: 266| NodesWithHelper: 285 | NoOfAreas: 13 / 109
N005014| Time: 1.7318| F1: 2| Nodes: 129| NodesWithHelper: 133 | NoOfAreas: 14 / 109
N005015| Time: 11.2529| F1: 173| Nodes: 847| NodesWithHelper: 914 | NoOfAreas: 15 / 109
N005016| Time: 1.5417| F1: 1| Nodes: 130| NodesWithHelper: 130 | NoOfAreas: 16 / 109
N005017| Time: 11.9091| F1: 363| Nodes: 879| NodesWithHelper: 958 | NoOfAreas: 17 / 109
N005018| Time: 8.2167| F1: 132| Nodes: 681| NodesWithHelper: 718 | NoOfAreas: 18 / 109
N005019| Time: 5.6319| F1: 41| Nodes: 501| NodesWithHelper: 515 | NoOfAreas: 19 / 109
N005020| Time: 10.9526| F1: 232| Nodes: 875| NodesWithHelper: 918 | NoOfAreas: 20 / 109
N005021| Time: 11.3578| F1: 483| Nodes: 747| NodesWithHelper: 845 | NoOfAreas: 21 / 109
N005022| Time: 3.1303| F1: 2| Nodes: 279| NodesWithHelper: 292 | NoOfAreas: 22 / 109
N005023| Time: 2.453| F1: 11| Nodes: 199| NodesWithHelper: 205 | NoOfAreas: 23 / 109
N005024| Time: 10.9739| F1: 212| Nodes: 898| NodesWithHelper: 951 | NoOfAreas: 24 / 109
N005025| Time: 5.3072| F1: 62| Nodes: 409| NodesWithHelper: 435 | NoOfAreas: 25 / 109
N005026| Time: 8.2261| F1: 92| Nodes: 632| NodesWithHelper: 654 | NoOfAreas: 26 / 109
