N019001| Time: 1.3558| F1: 1| Nodes: 99| NodesWithHelper: 103 | NoOfAreas: 1 / 116
N019002| Time: 3.967| F1: 2| Nodes: 280| NodesWithHelper: 285 | NoOfAreas: 2 / 116
N019003| Time: 18.8756| F1: 122| Nodes: 1243| NodesWithHelper: 1300 | NoOfAreas: 3 / 116
N019004| Time: 7.0912| F1: 102| Nodes: 514| NodesWithHelper: 536 | NoOfAreas: 4 / 116
N019005| Time: 5.0053| F1: 2| Nodes: 383| NodesWithHelper: 394 | NoOfAreas: 5 / 116
N019006| Time: 15.3326| F1: 362| Nodes: 1134| NodesWithHelper: 1189 | NoOfAreas: 6 / 116
N019007| Time: 8.0368| F1: 1| Nodes: 669| NodesWithHelper: 682 | NoOfAreas: 7 / 116
N019008| Time: 6.4598| F1: 32| Nodes: 569| NodesWithHelper: 587 | NoOfAreas: 8 / 116
N019009| Time: 11.344| F1: 42| Nodes: 952| NodesWithHelper: 979 | NoOfAreas: 9 / 116
N019010| Time: 3.4463| F1: 1| Nodes: 286| NodesWithHelper: 292 | NoOfAreas: 10 / 116
N019011| Time: 5.175| F1: 1| Nodes: 479| NodesWithHelper: 484 | NoOfAreas: 11 / 116
N019012| Time: 14.8689| F1: 292| Nodes: 1065| NodesWithHelper: 1142 | NoOfAreas: 12 / 116
N019013| Time: 12.6391| F1: 72| Nodes: 1063| NodesWithHelper: 1095 | NoOfAreas: 13 / 116
N019014| Time: 6.0904| F1: 142| Nodes: 494| NodesWithHelper: 519 | NoOfAreas: 14 / 116
N019015| Time: 10.6413| F1: 22| Nodes: 920| NodesWithHelper: 940 | NoOfAreas: 15 / 116
N019016| Time: 2.4883| F1: 2| Nodes: 188| NodesWithHelper: 199 | NoOfAreas: 16 / 116
N019017| Time: 5.5397| F1: 52| Nodes: 417| NodesWithHelper: 436 | NoOfAreas: 17 / 116
N019018| Time: 13.2605| F1: 313| Nodes: 912| NodesWithHelper: 999 | NoOfAreas: 18 / 116
N019019| Time: 7.0273| F1: 1| Nodes: 639| NodesWithHelper: 655 | NoOfAreas: 19 / 116
N019020| Time: 2.5268| F1: 42| Nodes: 191| NodesWithHelper: 198 | NoOfAreas: 20 / 116
N019021| Time: 3.6234| F1: 2| Nodes: 321| NodesWithHelper: 328 | NoOfAreas: 21 / 116
N019022| Time: 6.6167| F1: 1| Nodes: 591| NodesWithHelper: 610 | NoOfAreas: 22 / 116
N019023| Time: 8.9483| F1: 323| Nodes: 640| NodesWithHelper: 703 | NoOfAreas: 23 / 116
N019024| Time: 4.6899| F1: 62| Nodes: 387| NodesWithHelper: 422 | NoOfAreas: 24 / 116
N019025| Time: 12.5204| F1: 262| Nodes: 982| NodesWithHelper: 1038 | NoOfAreas: 25 / 116
N019026| Time: 6.0968| F1: 2| Nodes: 530| NodesWithHelper: 542 | NoOfAreas: 26 / 116
N019027| Time: 4.156| F1: 1| Nodes: 380| NodesWithHelper: 386 | NoOfAreas: 27 / 116
N019028| Time: 11.4913| F1: 32| Nodes: 1019| NodesWithHelper: 1039 | NoOfAreas: 28 / 116
N019029| Time: 6.9915| F1: 152| Nodes: 553| NodesWithHelper: 591 | NoOfAreas: 29 / 116
N019030| Time: 6.6916| F1: 122| Nodes: 535| NodesWithHelper: 573 | NoOfAreas: 30 / 116
N019031| Time: 3.9486| F1: 2| Nodes: 324| NodesWithHelper: 331 | NoOfAreas: 31 / 116
N019032| Time: 2.0303| F1: 1| Nodes: 170| NodesWithHelper: 175 | NoOfAreas: 32 / 116
N019033| Time: 8.0564| F1: 72| Nodes: 698| NodesWithHelper: 721 | NoOfAreas: 33 / 116
N019034| Time: 16.0205| F1: 322| Nodes: 1184| NodesWithHelper: 1243 | NoOfAreas: 34 / 116
N019035| Time: 4.6479| F1: 22| Nodes: 354| NodesWithHelper: 375 | NoOfAreas: 35 / 116
N019036| Time: 5.9082| F1: 102| Nodes: 426| NodesWithHelper: 446 | NoOfAreas: 36 / 116
N019037| Time: 8.1072| F1: 52| Nodes: 657| NodesWithHelper: 682 | NoOfAreas: 37 / 116
N019038| Time: 0.90423| F1: 2| Nodes: 55| NodesWithHelper: 58 | NoOfAreas: 38 / 116
N019039| Time: 8.3298| F1: 162| Nodes: 709| NodesWithHelper: 740 | NoOfAreas: 39 / 116
N019040| Time: 4.5109| F1: 103| Nodes: 362| NodesWithHelper: 386 | NoOfAreas: 40 / 116
