N017001| Time: 0.5639| F1: 3| Nodes: 3| NodesWithHelper: 3 | NoOfAreas: 1 / 116
N017002| Time: 0.74529| F1: 2| Nodes: 7| NodesWithHelper: 9 | NoOfAreas: 2 / 116
N017003| Time: 0.55302| F1: 2| Nodes: 11| NodesWithHelper: 13 | NoOfAreas: 3 / 116
N017004| Time: 1.0897| F1: 12| Nodes: 27| NodesWithHelper: 37 | NoOfAreas: 4 / 116
N017005| Time: 1.1554| F1: 2| Nodes: 55| NodesWithHelper: 64 | NoOfAreas: 5 / 116
N017006| Time: 0.99437| F1: 2| Nodes: 40| NodesWithHelper: 43 | NoOfAreas: 6 / 116
N017007| Time: 0.74062| F1: 2| Nodes: 10| NodesWithHelper: 12 | NoOfAreas: 7 / 116
N017008| Time: 5.5955| F1: 11| Nodes: 394| NodesWithHelper: 400 | NoOfAreas: 8 / 116
N017009| Time: 16.0191| F1: 182| Nodes: 1139| NodesWithHelper: 1192 | NoOfAreas: 9 / 116
N017010| Time: 6.4217| F1: 92| Nodes: 489| NodesWithHelper: 523 | NoOfAreas: 10 / 116
N017011| Time: 12.4479| F1: 2| Nodes: 953| NodesWithHelper: 977 | NoOfAreas: 11 / 116
N017012| Time: 6.2733| F1: 212| Nodes: 454| NodesWithHelper: 486 | NoOfAreas: 12 / 116
N017013| Time: 7.4475| F1: 22| Nodes: 589| NodesWithHelper: 631 | NoOfAreas: 13 / 116
N017014| Time: 15.8738| F1: 302| Nodes: 1080| NodesWithHelper: 1143 | NoOfAreas: 14 / 116
N017015| Time: 6.914| F1: 12| Nodes: 535| NodesWithHelper: 556 | NoOfAreas: 15 / 116
N017016| Time: 4.7068| F1: 82| Nodes: 361| NodesWithHelper: 385 | NoOfAreas: 16 / 116
N017017| Time: 10.0025| F1: 382| Nodes: 658| NodesWithHelper: 748 | NoOfAreas: 17 / 116
N017018| Time: 7.7793| F1: 32| Nodes: 649| NodesWithHelper: 670 | NoOfAreas: 18 / 116
N017019| Time: 2.9642| F1: 2| Nodes: 211| NodesWithHelper: 223 | NoOfAreas: 19 / 116
N017020| Time: 7.5413| F1: 102| Nodes: 612| NodesWithHelper: 642 | NoOfAreas: 20 / 116
N017021| Time: 2.9509| F1: 22| Nodes: 225| NodesWithHelper: 246 | NoOfAreas: 21 / 116
N017022| Time: 5.2519| F1: 42| Nodes: 440| NodesWithHelper: 465 | NoOfAreas: 22 / 116
N017023| Time: 1.1784| F1: 1| Nodes: 84| NodesWithHelper: 85 | NoOfAreas: 23 / 116
N017024| Time: 4.6195| F1: 2| Nodes: 372| NodesWithHelper: 389 | NoOfAreas: 24 / 116
N017025| Time: 3.2216| F1: 12| Nodes: 263| NodesWithHelper: 275 | NoOfAreas: 25 / 116
N017026| Time: 4.4698| F1: 92| Nodes: 344| NodesWithHelper: 376 | NoOfAreas: 26 / 116
N017027| Time: 6.4618| F1: 183| Nodes: 462| NodesWithHelper: 528 | NoOfAreas: 27 / 116
N017028| Time: 13.3891| F1: 31| Nodes: 1036| NodesWithHelper: 1064 | NoOfAreas: 28 / 116
N017029| Time: 9.0942| F1: 252| Nodes: 546| NodesWithHelper: 624 | NoOfAreas: 29 / 116
N017030| Time: 8.4886| F1: 152| Nodes: 619| NodesWithHelper: 654 | NoOfAreas: 30 / 116
N017031| Time: 6.99| F1: 82| Nodes: 578| NodesWithHelper: 610 | NoOfAreas: 31 / 116
N017032| Time: 18.1136| F1: 132| Nodes: 1348| NodesWithHelper: 1392 | NoOfAreas: 32 / 116
N017033| Time: 6.7788| F1: 573| Nodes: 365| NodesWithHelper: 470 | NoOfAreas: 33 / 116
N017034| Time: 17.4706| F1: 172| Nodes: 1211| NodesWithHelper: 1270 | NoOfAreas: 34 / 116
N017035| Time: 4.6092| F1: 51| Nodes: 379| NodesWithHelper: 397 | NoOfAreas: 35 / 116
N017036| Time: 7.6049| F1: 242| Nodes: 508| NodesWithHelper: 593 | NoOfAreas: 36 / 116
N017037| Time: 8.9231| F1: 112| Nodes: 684| NodesWithHelper: 724 | NoOfAreas: 37 / 116
N017038| Time: 5.1566| F1: 52| Nodes: 420| NodesWithHelper: 438 | NoOfAreas: 38 / 116
N017039| Time: 32.8875| F1: 232| Nodes: 1975| NodesWithHelper: 2052 | NoOfAreas: 39 / 116
N017040| Time: 18.7359| F1: 172| Nodes: 1358| NodesWithHelper: 1403 | NoOfAreas: 40 / 116
N017041| Time: 15.9786| F1: 382| Nodes: 1020| NodesWithHelper: 1105 | NoOfAreas: 41 / 116
N017042| Time: 6.7779| F1: 112| Nodes: 529| NodesWithHelper: 557 | NoOfAreas: 42 / 116
N017043| Time: 8.1378| F1: 2| Nodes: 633| NodesWithHelper: 654 | NoOfAreas: 43 / 116
N017044| Time: 6.671| F1: 12| Nodes: 537| NodesWithHelper: 555 | NoOfAreas: 44 / 116
N017045| Time: 3.2982| F1: 62| Nodes: 240| NodesWithHelper: 263 | NoOfAreas: 45 / 116
N017046| Time: 0.44406| F1: 3| Nodes: 2| NodesWithHelper: 2 | NoOfAreas: 46 / 116
N017047| Time: 12.5356| F1: 62| Nodes: 967| NodesWithHelper: 1004 | NoOfAreas: 47 / 116
N017048| Time: 4.0752| F1: 2| Nodes: 243| NodesWithHelper: 258 | NoOfAreas: 48 / 116
N017049| Time: 8.883| F1: 41| Nodes: 733| NodesWithHelper: 745 | NoOfAreas: 49 / 116
N017050| Time: 7.2192| F1: 2| Nodes: 571| NodesWithHelper: 590 | NoOfAreas: 50 / 116
N017051| Time: 16.4846| F1: 82| Nodes: 1195| NodesWithHelper: 1242 | NoOfAreas: 51 / 116
N017052| Time: 9.7481| F1: 162| Nodes: 660| NodesWithHelper: 726 | NoOfAreas: 52 / 116
N017053| Time: 5.5566| F1: 72| Nodes: 408| NodesWithHelper: 445 | NoOfAreas: 53 / 116
N017054| Time: 7.0841| F1: 392| Nodes: 486| NodesWithHelper: 547 | NoOfAreas: 54 / 116
N017055| Time: 8.7155| F1: 352| Nodes: 598| NodesWithHelper: 663 | NoOfAreas: 55 / 116
N017056| Time: 19.3023| F1: 513| Nodes: 1037| NodesWithHelper: 1131 | NoOfAreas: 56 / 116
N017057| Time: 13.4829| F1: 42| Nodes: 963| NodesWithHelper: 997 | NoOfAreas: 57 / 116
N017058| Time: 19.421| F1: 322| Nodes: 1187| NodesWithHelper: 1242 | NoOfAreas: 58 / 116
N017059| Time: 7.6667| F1: 292| Nodes: 533| NodesWithHelper: 603 | NoOfAreas: 59 / 116
N017060| Time: 2.9441| F1: 2| Nodes: 224| NodesWithHelper: 226 | NoOfAreas: 60 / 116
N017061| Time: 1.9284| F1: 2| Nodes: 111| NodesWithHelper: 115 | NoOfAreas: 61 / 116
N017062| Time: 1.9236| F1: 2| Nodes: 133| NodesWithHelper: 139 | NoOfAreas: 62 / 116
N017063| Time: 6.4447| F1: 72| Nodes: 506| NodesWithHelper: 531 | NoOfAreas: 63 / 116
N017064| Time: 9.9261| F1: 133| Nodes: 685| NodesWithHelper: 749 | NoOfAreas: 64 / 116
N017065| Time: 2.4952| F1: 1| Nodes: 206| NodesWithHelper: 207 | NoOfAreas: 65 / 116
N017066| Time: 4.7789| F1: 22| Nodes: 376| NodesWithHelper: 401 | NoOfAreas: 66 / 116
N017067| Time: 10.7237| F1: 353| Nodes: 683| NodesWithHelper: 787 | NoOfAreas: 67 / 116
N017068| Time: 2.389| F1: 1| Nodes: 178| NodesWithHelper: 188 | NoOfAreas: 68 / 116
N017069| Time: 6.709| F1: 32| Nodes: 511| NodesWithHelper: 543 | NoOfAreas: 69 / 116
N017070| Time: 4.7004| F1: 32| Nodes: 391| NodesWithHelper: 413 | NoOfAreas: 70 / 116
