N007001| Time: 7.5099| F1: 32| Nodes: 585| NodesWithHelper: 616 | NoOfAreas: 1 / 109
N007002| Time: 6.7851| F1: 32| Nodes: 544| NodesWithHelper: 571 | NoOfAreas: 2 / 109
N007003| Time: 4.2262| F1: 2| Nodes: 363| NodesWithHelper: 375 | NoOfAreas: 3 / 109
N007004| Time: 6.9706| F1: 32| Nodes: 581| NodesWithHelper: 611 | NoOfAreas: 4 / 109
N007005| Time: 8.3354| F1: 72| Nodes: 682| NodesWithHelper: 705 | NoOfAreas: 5 / 109
N007006| Time: 6.4747| F1: 72| Nodes: 529| NodesWithHelper: 549 | NoOfAreas: 6 / 109
N007007| Time: 6.8046| F1: 12| Nodes: 584| NodesWithHelper: 615 | NoOfAreas: 7 / 109
N007008| Time: 8.658| F1: 42| Nodes: 740| NodesWithHelper: 754 | NoOfAreas: 8 / 109
N007009| Time: 5.8083| F1: 92| Nodes: 491| NodesWithHelper: 513 | NoOfAreas: 9 / 109
N007010| Time: 7.5657| F1: 2| Nodes: 630| NodesWithHelper: 651 | NoOfAreas: 10 / 109
N007011| Time: 0.39578| F1: 3| Nodes: 2| NodesWithHelper: 2 | NoOfAreas: 11 / 109
N007012| Time: 11.399| F1: 72| Nodes: 900| NodesWithHelper: 922 | NoOfAreas: 12 / 109
N007013| Time: 5.6208| F1: 2| Nodes: 482| NodesWithHelper: 498 | NoOfAreas: 13 / 109
N007014| Time: 13.551| F1: 102| Nodes: 1025| NodesWithHelper: 1058 | NoOfAreas: 14 / 109
N007015| Time: 15.7497| F1: 142| Nodes: 1087| NodesWithHelper: 1127 | NoOfAreas: 15 / 109
N007016| Time: 5.304| F1: 42| Nodes: 437| NodesWithHelper: 458 | NoOfAreas: 16 / 109
N007017| Time: 6.1188| F1: 142| Nodes: 491| NodesWithHelper: 524 | NoOfAreas: 17 / 109
N007018| Time: 5.0489| F1: 1| Nodes: 452| NodesWithHelper: 465 | NoOfAreas: 18 / 109
N007019| Time: 10.7003| F1: 192| Nodes: 776| NodesWithHelper: 834 | NoOfAreas: 19 / 109
N007020| Time: 4.6285| F1: 2| Nodes: 406| NodesWithHelper: 414 | NoOfAreas: 20 / 109
