N025001| Time: 4.338| F1: 2| Nodes: 346| NodesWithHelper: 352 | NoOfAreas: 1 / 119
N025002| Time: 8.495| F1: 52| Nodes: 628| NodesWithHelper: 673 | NoOfAreas: 2 / 119
N025003| Time: 5.784| F1: 2| Nodes: 455| NodesWithHelper: 465 | NoOfAreas: 3 / 119
N025004| Time: 4.3924| F1: 22| Nodes: 308| NodesWithHelper: 320 | NoOfAreas: 4 / 119
N025005| Time: 0.44261| F1: 2| Nodes: 9| NodesWithHelper: 9 | NoOfAreas: 5 / 119
N025006| Time: 8.161| F1: 82| Nodes: 602| NodesWithHelper: 647 | NoOfAreas: 6 / 119
N025007| Time: 9.1268| F1: 52| Nodes: 616| NodesWithHelper: 653 | NoOfAreas: 7 / 119
N025008| Time: 4.1459| F1: 2| Nodes: 307| NodesWithHelper: 318 | NoOfAreas: 8 / 119
N025009| Time: 7.0606| F1: 42| Nodes: 572| NodesWithHelper: 595 | NoOfAreas: 9 / 119
N025010| Time: 6.8379| F1: 232| Nodes: 507| NodesWithHelper: 541 | NoOfAreas: 10 / 119
N025011| Time: 5.1808| F1: 42| Nodes: 361| NodesWithHelper: 387 | NoOfAreas: 11 / 119
N025012| Time: 4.6961| F1: 102| Nodes: 366| NodesWithHelper: 392 | NoOfAreas: 12 / 119
N025013| Time: 2.7873| F1: 2| Nodes: 188| NodesWithHelper: 197 | NoOfAreas: 13 / 119
N025014| Time: 2.5281| F1: 2| Nodes: 183| NodesWithHelper: 183 | NoOfAreas: 14 / 119
N025015| Time: 2.5396| F1: 1| Nodes: 187| NodesWithHelper: 190 | NoOfAreas: 15 / 119
N025016| Time: 2.8721| F1: 42| Nodes: 203| NodesWithHelper: 210 | NoOfAreas: 16 / 119
N025017| Time: 2.0365| F1: 1| Nodes: 160| NodesWithHelper: 162 | NoOfAreas: 17 / 119
N025018| Time: 4.9881| F1: 2| Nodes: 378| NodesWithHelper: 399 | NoOfAreas: 18 / 119
N025019| Time: 4.8831| F1: 43| Nodes: 264| NodesWithHelper: 292 | NoOfAreas: 19 / 119
N025020| Time: 6.9116| F1: 122| Nodes: 520| NodesWithHelper: 557 | NoOfAreas: 20 / 119
N025021| Time: 8.6793| F1: 123| Nodes: 597| NodesWithHelper: 633 | NoOfAreas: 21 / 119
N025022| Time: 6.8973| F1: 42| Nodes: 512| NodesWithHelper: 542 | NoOfAreas: 22 / 119
N025023| Time: 4.3718| F1: 2| Nodes: 339| NodesWithHelper: 346 | NoOfAreas: 23 / 119
N025024| Time: 5.6184| F1: 53| Nodes: 370| NodesWithHelper: 393 | NoOfAreas: 24 / 119
N025025| Time: 4.7497| F1: 2| Nodes: 354| NodesWithHelper: 372 | NoOfAreas: 25 / 119
N025026| Time: 2.9195| F1: 1| Nodes: 230| NodesWithHelper: 232 | NoOfAreas: 26 / 119
N025027| Time: 2.6086| F1: 1| Nodes: 189| NodesWithHelper: 193 | NoOfAreas: 27 / 119
N025028| Time: 8.5106| F1: 152| Nodes: 624| NodesWithHelper: 674 | NoOfAreas: 28 / 119
N025029| Time: 8.8169| F1: 12| Nodes: 721| NodesWithHelper: 741 | NoOfAreas: 29 / 119
N025030| Time: 3.5206| F1: 2| Nodes: 278| NodesWithHelper: 285 | NoOfAreas: 30 / 119
N025031| Time: 5.7753| F1: 2| Nodes: 443| NodesWithHelper: 468 | NoOfAreas: 31 / 119
N025032| Time: 8.6986| F1: 62| Nodes: 676| NodesWithHelper: 706 | NoOfAreas: 32 / 119
N025033| Time: 3.0926| F1: 12| Nodes: 233| NodesWithHelper: 247 | NoOfAreas: 33 / 119
N025034| Time: 9.2766| F1: 152| Nodes: 695| NodesWithHelper: 735 | NoOfAreas: 34 / 119
N025035| Time: 4.5459| F1: 2| Nodes: 371| NodesWithHelper: 388 | NoOfAreas: 35 / 119
N025036| Time: 5.6188| F1: 2| Nodes: 459| NodesWithHelper: 477 | NoOfAreas: 36 / 119
N025037| Time: 4.8949| F1: 2| Nodes: 396| NodesWithHelper: 407 | NoOfAreas: 37 / 119
N025038| Time: 2.5868| F1: 2| Nodes: 171| NodesWithHelper: 178 | NoOfAreas: 38 / 119
N025039| Time: 1.7037| F1: 12| Nodes: 105| NodesWithHelper: 113 | NoOfAreas: 39 / 119
N025040| Time: 7.3204| F1: 32| Nodes: 579| NodesWithHelper: 605 | NoOfAreas: 40 / 119
N025041| Time: 2.4858| F1: 1| Nodes: 196| NodesWithHelper: 202 | NoOfAreas: 41 / 119
N025042| Time: 12.1593| F1: 12| Nodes: 814| NodesWithHelper: 831 | NoOfAreas: 42 / 119
N025043| Time: 7.1048| F1: 2| Nodes: 632| NodesWithHelper: 643 | NoOfAreas: 43 / 119
N025044| Time: 2.9621| F1: 1| Nodes: 215| NodesWithHelper: 218 | NoOfAreas: 44 / 119
N025045| Time: 6.2241| F1: 2| Nodes: 534| NodesWithHelper: 545 | NoOfAreas: 45 / 119
N025046| Time: 1.2188| F1: 2| Nodes: 69| NodesWithHelper: 71 | NoOfAreas: 46 / 119
N025047| Time: 8.9013| F1: 253| Nodes: 635| NodesWithHelper: 683 | NoOfAreas: 47 / 119
N025048| Time: 7.3152| F1: 12| Nodes: 603| NodesWithHelper: 628 | NoOfAreas: 48 / 119
N025049| Time: 5.7924| F1: 12| Nodes: 479| NodesWithHelper: 494 | NoOfAreas: 49 / 119
N025050| Time: 10.9874| F1: 32| Nodes: 843| NodesWithHelper: 869 | NoOfAreas: 50 / 119
N025051| Time: 4.2306| F1: 32| Nodes: 316| NodesWithHelper: 328 | NoOfAreas: 51 / 119
N025052| Time: 4.6| F1: 2| Nodes: 375| NodesWithHelper: 390 | NoOfAreas: 52 / 119
N025053| Time: 2.068| F1: 1| Nodes: 139| NodesWithHelper: 142 | NoOfAreas: 53 / 119
N025054| Time: 7.669| F1: 162| Nodes: 572| NodesWithHelper: 612 | NoOfAreas: 54 / 119
N025055| Time: 2.4727| F1: 22| Nodes: 157| NodesWithHelper: 179 | NoOfAreas: 55 / 119
N025056| Time: 6.5574| F1: 63| Nodes: 482| NodesWithHelper: 508 | NoOfAreas: 56 / 119
N025057| Time: 1.5071| F1: 2| Nodes: 104| NodesWithHelper: 111 | NoOfAreas: 57 / 119
N025058| Time: 3.357| F1: 2| Nodes: 250| NodesWithHelper: 261 | NoOfAreas: 58 / 119
N025059| Time: 1.7572| F1: 1| Nodes: 123| NodesWithHelper: 125 | NoOfAreas: 59 / 119
N025060| Time: 5.8157| F1: 11| Nodes: 462| NodesWithHelper: 475 | NoOfAreas: 60 / 119
