N012001| Time: 2.1192| F1: 2| Nodes: 92| NodesWithHelper: 97 | NoOfAreas: 1 / 81
N012002| Time: 0.86456| F1: 2| Nodes: 19| NodesWithHelper: 21 | NoOfAreas: 2 / 81
N012003| Time: 4.6839| F1: 1| Nodes: 296| NodesWithHelper: 303 | NoOfAreas: 3 / 81
N012004| Time: 1.8266| F1: 2| Nodes: 95| NodesWithHelper: 101 | NoOfAreas: 4 / 81
N012005| Time: 5.3673| F1: 42| Nodes: 309| NodesWithHelper: 321 | NoOfAreas: 5 / 81
N012006| Time: 13.785| F1: 112| Nodes: 732| NodesWithHelper: 776 | NoOfAreas: 6 / 81
N012007| Time: 8.8414| F1: 2| Nodes: 496| NodesWithHelper: 511 | NoOfAreas: 7 / 81
N012008| Time: 13.3089| F1: 252| Nodes: 720| NodesWithHelper: 770 | NoOfAreas: 8 / 81
N012009| Time: 5.0943| F1: 11| Nodes: 343| NodesWithHelper: 353 | NoOfAreas: 9 / 81
N012010| Time: 10.7383| F1: 32| Nodes: 675| NodesWithHelper: 703 | NoOfAreas: 10 / 81
N012011| Time: 8.6463| F1: 1| Nodes: 590| NodesWithHelper: 603 | NoOfAreas: 11 / 81
N012012| Time: 7.5187| F1: 22| Nodes: 478| NodesWithHelper: 506 | NoOfAreas: 12 / 81
N012013| Time: 11.8139| F1: 122| Nodes: 711| NodesWithHelper: 758 | NoOfAreas: 13 / 81
N012014| Time: 6.2099| F1: 42| Nodes: 392| NodesWithHelper: 409 | NoOfAreas: 14 / 81
N012015| Time: 3.936| F1: 1| Nodes: 253| NodesWithHelper: 267 | NoOfAreas: 15 / 81
N012016| Time: 9.28| F1: 52| Nodes: 578| NodesWithHelper: 597 | NoOfAreas: 16 / 81
N012017| Time: 4.9811| F1: 12| Nodes: 297| NodesWithHelper: 317 | NoOfAreas: 17 / 81
N012018| Time: 16.9239| F1: 442| Nodes: 917| NodesWithHelper: 987 | NoOfAreas: 18 / 81
N012019| Time: 7.0016| F1: 102| Nodes: 446| NodesWithHelper: 477 | NoOfAreas: 19 / 81
N012020| Time: 11.7061| F1: 32| Nodes: 724| NodesWithHelper: 760 | NoOfAreas: 20 / 81
N012021| Time: 6.8743| F1: 2| Nodes: 463| NodesWithHelper: 479 | NoOfAreas: 21 / 81
N012022| Time: 6.2782| F1: 123| Nodes: 355| NodesWithHelper: 390 | NoOfAreas: 22 / 81
N012023| Time: 12.2153| F1: 212| Nodes: 713| NodesWithHelper: 778 | NoOfAreas: 23 / 81
N012024| Time: 9.3548| F1: 152| Nodes: 532| NodesWithHelper: 581 | NoOfAreas: 24 / 81
N012025| Time: 3.8989| F1: 1| Nodes: 252| NodesWithHelper: 253 | NoOfAreas: 25 / 81
N012026| Time: 2.9102| F1: 1| Nodes: 185| NodesWithHelper: 189 | NoOfAreas: 26 / 81
N012027| Time: 5.3553| F1: 62| Nodes: 312| NodesWithHelper: 351 | NoOfAreas: 27 / 81
N012028| Time: 8.451| F1: 82| Nodes: 531| NodesWithHelper: 563 | NoOfAreas: 28 / 81
N012029| Time: 2.9134| F1: 1| Nodes: 174| NodesWithHelper: 178 | NoOfAreas: 29 / 81
N012030| Time: 7.7465| F1: 112| Nodes: 460| NodesWithHelper: 502 | NoOfAreas: 30 / 81
N012031| Time: 5.494| F1: 32| Nodes: 332| NodesWithHelper: 365 | NoOfAreas: 31 / 81
N012032| Time: 10.7199| F1: 2| Nodes: 725| NodesWithHelper: 750 | NoOfAreas: 32 / 81
N012033| Time: 4.6334| F1: 112| Nodes: 249| NodesWithHelper: 282 | NoOfAreas: 33 / 81
N012034| Time: 5.2078| F1: 2| Nodes: 333| NodesWithHelper: 346 | NoOfAreas: 34 / 81
N012035| Time: 10.3447| F1: 12| Nodes: 671| NodesWithHelper: 700 | NoOfAreas: 35 / 81
N012036| Time: 7.385| F1: 12| Nodes: 468| NodesWithHelper: 504 | NoOfAreas: 36 / 81
N012037| Time: 8.636| F1: 2| Nodes: 583| NodesWithHelper: 601 | NoOfAreas: 37 / 81
N012038| Time: 7.9244| F1: 82| Nodes: 497| NodesWithHelper: 533 | NoOfAreas: 38 / 81
N012039| Time: 1.6781| F1: 1| Nodes: 99| NodesWithHelper: 99 | NoOfAreas: 39 / 81
N012040| Time: 7.443| F1: 12| Nodes: 508| NodesWithHelper: 522 | NoOfAreas: 40 / 81
N012041| Time: 9.1819| F1: 2| Nodes: 552| NodesWithHelper: 569 | NoOfAreas: 41 / 81
N012042| Time: 2.1475| F1: 1| Nodes: 121| NodesWithHelper: 125 | NoOfAreas: 42 / 81
N012043| Time: 9.2437| F1: 52| Nodes: 559| NodesWithHelper: 597 | NoOfAreas: 43 / 81
N012044| Time: 11.9437| F1: 272| Nodes: 638| NodesWithHelper: 697 | NoOfAreas: 44 / 81
N012045| Time: 13.4409| F1: 513| Nodes: 627| NodesWithHelper: 712 | NoOfAreas: 45 / 81
N012046| Time: 6.5253| F1: 52| Nodes: 407| NodesWithHelper: 430 | NoOfAreas: 46 / 81
N012047| Time: 3.4816| F1: 2| Nodes: 179| NodesWithHelper: 186 | NoOfAreas: 47 / 81
N012048| Time: 8.0421| F1: 52| Nodes: 425| NodesWithHelper: 447 | NoOfAreas: 48 / 81
N012049| Time: 7.7207| F1: 42| Nodes: 465| NodesWithHelper: 486 | NoOfAreas: 49 / 81
N012050| Time: 6.7484| F1: 12| Nodes: 425| NodesWithHelper: 450 | NoOfAreas: 50 / 81
N012051| Time: 6.1787| F1: 2| Nodes: 400| NodesWithHelper: 413 | NoOfAreas: 51 / 81
N012052| Time: 4.9636| F1: 2| Nodes: 316| NodesWithHelper: 334 | NoOfAreas: 52 / 81
N012053| Time: 5.8016| F1: 2| Nodes: 365| NodesWithHelper: 378 | NoOfAreas: 53 / 81
N012054| Time: 9.6776| F1: 2| Nodes: 585| NodesWithHelper: 613 | NoOfAreas: 54 / 81
N012055| Time: 10.0146| F1: 12| Nodes: 623| NodesWithHelper: 646 | NoOfAreas: 55 / 81
N012056| Time: 6.3773| F1: 52| Nodes: 405| NodesWithHelper: 425 | NoOfAreas: 56 / 81
N012057| Time: 1.4366| F1: 1| Nodes: 76| NodesWithHelper: 76 | NoOfAreas: 57 / 81
N012058| Time: 5.4958| F1: 2| Nodes: 326| NodesWithHelper: 349 | NoOfAreas: 58 / 81
N012059| Time: 8.095| F1: 2| Nodes: 502| NodesWithHelper: 524 | NoOfAreas: 59 / 81
N012060| Time: 8.8222| F1: 62| Nodes: 525| NodesWithHelper: 561 | NoOfAreas: 60 / 81
N012061| Time: 2.4153| F1: 62| Nodes: 126| NodesWithHelper: 140 | NoOfAreas: 61 / 81
N012062| Time: 12.6863| F1: 42| Nodes: 768| NodesWithHelper: 804 | NoOfAreas: 62 / 81
N012063| Time: 3.6913| F1: 42| Nodes: 211| NodesWithHelper: 228 | NoOfAreas: 63 / 81
N012064| Time: 1.7178| F1: 2| Nodes: 87| NodesWithHelper: 92 | NoOfAreas: 64 / 81
N012065| Time: 1.5759| F1: 1| Nodes: 83| NodesWithHelper: 85 | NoOfAreas: 65 / 81
N012066| Time: 8.1983| F1: 62| Nodes: 511| NodesWithHelper: 527 | NoOfAreas: 66 / 81
N012067| Time: 1.0166| F1: 1| Nodes: 49| NodesWithHelper: 50 | NoOfAreas: 67 / 81
N012068| Time: 4.8765| F1: 1| Nodes: 300| NodesWithHelper: 308 | NoOfAreas: 68 / 81
N012069| Time: 2.5616| F1: 1| Nodes: 152| NodesWithHelper: 152 | NoOfAreas: 69 / 81
N012070| Time: 0.71348| F1: 3| Nodes: 7| NodesWithHelper: 8 | NoOfAreas: 70 / 81
N012071| Time: 4.9838| F1: 2| Nodes: 289| NodesWithHelper: 297 | NoOfAreas: 71 / 81
N012072| Time: 1.8024| F1: 1| Nodes: 103| NodesWithHelper: 103 | NoOfAreas: 72 / 81
N012073| Time: 2.181| F1: 1| Nodes: 131| NodesWithHelper: 131 | NoOfAreas: 73 / 81
N012074| Time: 4.8023| F1: 2| Nodes: 302| NodesWithHelper: 315 | NoOfAreas: 74 / 81
N012075| Time: 2.6404| F1: 1| Nodes: 158| NodesWithHelper: 158 | NoOfAreas: 75 / 81
N012076| Time: 5.7357| F1: 2| Nodes: 382| NodesWithHelper: 386 | NoOfAreas: 76 / 81
N012077| Time: 1.3898| F1: 12| Nodes: 46| NodesWithHelper: 50 | NoOfAreas: 77 / 81
N012078| Time: 3.1962| F1: 12| Nodes: 184| NodesWithHelper: 196 | NoOfAreas: 78 / 81
N012079| Time: 2.8477| F1: 2| Nodes: 172| NodesWithHelper: 181 | NoOfAreas: 79 / 81
N012080| Time: 3.3629| F1: 1| Nodes: 205| NodesWithHelper: 212 | NoOfAreas: 80 / 81
N012081| Time: 2.7269| F1: 1| Nodes: 169| NodesWithHelper: 171 | NoOfAreas: 81 / 81
MaxTime (sec): 16.9239| MinTime (sec): 0.71348| AverageTime (sec): 6.3034| TotalTime (min): 8.5095
