N001001| Time: 0.79398| F1: 2| Nodes: 33| NodesWithHelper: 35 | NoOfAreas: 1 / 123
N001002| Time: 0.63267| F1: 1| Nodes: 33| NodesWithHelper: 35 | NoOfAreas: 2 / 123
N001003| Time: 0.32835| F1: 2| Nodes: 4| NodesWithHelper: 4 | NoOfAreas: 3 / 123
N001004| Time: 1.3567| F1: 2| Nodes: 78| NodesWithHelper: 79 | NoOfAreas: 4 / 123
N001005| Time: 1.4372| F1: 1| Nodes: 106| NodesWithHelper: 109 | NoOfAreas: 5 / 123
N001006| Time: 0.54826| F1: 2| Nodes: 6| NodesWithHelper: 6 | NoOfAreas: 6 / 123
N001007| Time: 2.7334| F1: 12| Nodes: 66| NodesWithHelper: 69 | NoOfAreas: 7 / 123
N001008| Time: 3.1139| F1: 1| Nodes: 172| NodesWithHelper: 172 | NoOfAreas: 8 / 123
N001009| Time: 5.6695| F1: 13| Nodes: 315| NodesWithHelper: 338 | NoOfAreas: 9 / 123
N001010| Time: 5.6793| F1: 122| Nodes: 361| NodesWithHelper: 397 | NoOfAreas: 10 / 123
N001011| Time: 0.79241| F1: 2| Nodes: 42| NodesWithHelper: 46 | NoOfAreas: 11 / 123
N001012| Time: 0.97319| F1: 2| Nodes: 59| NodesWithHelper: 64 | NoOfAreas: 12 / 123
N001013| Time: 2.027| F1: 1| Nodes: 180| NodesWithHelper: 180 | NoOfAreas: 13 / 123
N001014| Time: 2.1277| F1: 1| Nodes: 168| NodesWithHelper: 172 | NoOfAreas: 14 / 123
N001015| Time: 7.604| F1: 152| Nodes: 578| NodesWithHelper: 643 | NoOfAreas: 15 / 123
N001016| Time: 8.9183| F1: 332| Nodes: 675| NodesWithHelper: 734 | NoOfAreas: 16 / 123
N001017| Time: 2.485| F1: 62| Nodes: 194| NodesWithHelper: 216 | NoOfAreas: 17 / 123
N001018| Time: 2.2582| F1: 1| Nodes: 182| NodesWithHelper: 185 | NoOfAreas: 18 / 123
