N023001| Time: 0.33882| F1: 2| Nodes: 4| NodesWithHelper: 4 | NoOfAreas: 1 / 66
N023002| Time: 2.7892| F1: 1| Nodes: 191| NodesWithHelper: 197 | NoOfAreas: 2 / 66
N023003| Time: 0.93956| F1: 1| Nodes: 57| NodesWithHelper: 57 | NoOfAreas: 3 / 66
N023004| Time: 0.96549| F1: 1| Nodes: 51| NodesWithHelper: 58 | NoOfAreas: 4 / 66
N023005| Time: 4.8715| F1: 11| Nodes: 401| NodesWithHelper: 411 | NoOfAreas: 5 / 66
N023006| Time: 8.8593| F1: 82| Nodes: 728| NodesWithHelper: 748 | NoOfAreas: 6 / 66
N023007| Time: 12.3146| F1: 92| Nodes: 959| NodesWithHelper: 993 | NoOfAreas: 7 / 66
N023008| Time: 0.66004| F1: 2| Nodes: 4| NodesWithHelper: 4 | NoOfAreas: 8 / 66
N023009| Time: 9.9319| F1: 102| Nodes: 798| NodesWithHelper: 835 | NoOfAreas: 9 / 66
N023010| Time: 8.3224| F1: 42| Nodes: 683| NodesWithHelper: 718 | NoOfAreas: 10 / 66
N023011| Time: 4.8731| F1: 2| Nodes: 430| NodesWithHelper: 441 | NoOfAreas: 11 / 66
N023012| Time: 3.1958| F1: 2| Nodes: 262| NodesWithHelper: 266 | NoOfAreas: 12 / 66
N023013| Time: 6.1044| F1: 21| Nodes: 516| NodesWithHelper: 529 | NoOfAreas: 13 / 66
N023014| Time: 4.7409| F1: 2| Nodes: 385| NodesWithHelper: 407 | NoOfAreas: 14 / 66
N023015| Time: 10.1848| F1: 152| Nodes: 782| NodesWithHelper: 823 | NoOfAreas: 15 / 66
N023016| Time: 6.7828| F1: 12| Nodes: 602| NodesWithHelper: 614 | NoOfAreas: 16 / 66
N023017| Time: 6.8948| F1: 2| Nodes: 575| NodesWithHelper: 585 | NoOfAreas: 17 / 66
N023018| Time: 4.4652| F1: 2| Nodes: 388| NodesWithHelper: 396 | NoOfAreas: 18 / 66
