N022001| Time: 3.1342| F1: 1| Nodes: 260| NodesWithHelper: 263 | NoOfAreas: 1 / 28
N022002| Time: 5.5111| F1: 2| Nodes: 466| NodesWithHelper: 472 | NoOfAreas: 2 / 28
N022003| Time: 2.3074| F1: 1| Nodes: 182| NodesWithHelper: 189 | NoOfAreas: 3 / 28
N022004| Time: 2.4646| F1: 1| Nodes: 178| NodesWithHelper: 179 | NoOfAreas: 4 / 28
N022005| Time: 5.2243| F1: 1| Nodes: 460| NodesWithHelper: 466 | NoOfAreas: 5 / 28
N022006| Time: 2.9065| F1: 1| Nodes: 245| NodesWithHelper: 252 | NoOfAreas: 6 / 28
N022007| Time: 4.8873| F1: 2| Nodes: 407| NodesWithHelper: 413 | NoOfAreas: 7 / 28
N022008| Time: 4.2609| F1: 2| Nodes: 357| NodesWithHelper: 360 | NoOfAreas: 8 / 28
N022009| Time: 4.755| F1: 22| Nodes: 314| NodesWithHelper: 327 | NoOfAreas: 9 / 28
N022010| Time: 7.3178| F1: 1| Nodes: 536| NodesWithHelper: 541 | NoOfAreas: 10 / 28
N022011| Time: 3.6887| F1: 1| Nodes: 296| NodesWithHelper: 296 | NoOfAreas: 11 / 28
N022012| Time: 2.4295| F1: 1| Nodes: 208| NodesWithHelper: 210 | NoOfAreas: 12 / 28
N022013| Time: 5.3667| F1: 2| Nodes: 472| NodesWithHelper: 485 | NoOfAreas: 13 / 28
N022014| Time: 1.3317| F1: 2| Nodes: 78| NodesWithHelper: 80 | NoOfAreas: 14 / 28
N022015| Time: 7.0187| F1: 2| Nodes: 633| NodesWithHelper: 640 | NoOfAreas: 15 / 28
N022016| Time: 6.467| F1: 2| Nodes: 410| NodesWithHelper: 421 | NoOfAreas: 16 / 28
N022017| Time: 6.3233| F1: 2| Nodes: 403| NodesWithHelper: 417 | NoOfAreas: 17 / 28
N022018| Time: 2.0384| F1: 12| Nodes: 118| NodesWithHelper: 122 | NoOfAreas: 18 / 28
N022019| Time: 3.6428| F1: 1| Nodes: 275| NodesWithHelper: 281 | NoOfAreas: 19 / 28
N022020| Time: 4.004| F1: 2| Nodes: 332| NodesWithHelper: 342 | NoOfAreas: 20 / 28
N022021| Time: 4.7901| F1: 2| Nodes: 376| NodesWithHelper: 394 | NoOfAreas: 21 / 28
N022022| Time: 6.4467| F1: 1| Nodes: 570| NodesWithHelper: 572 | NoOfAreas: 22 / 28
N022023| Time: 2.6682| F1: 12| Nodes: 211| NodesWithHelper: 217 | NoOfAreas: 23 / 28
N022024| Time: 0.60292| F1: 1| Nodes: 21| NodesWithHelper: 21 | NoOfAreas: 24 / 28
N022025| Time: 3.3795| F1: 1| Nodes: 267| NodesWithHelper: 271 | NoOfAreas: 25 / 28
N022026| Time: 2.9033| F1: 2| Nodes: 229| NodesWithHelper: 240 | NoOfAreas: 26 / 28
N022027| Time: 0.86189| F1: 1| Nodes: 43| NodesWithHelper: 43 | NoOfAreas: 27 / 28
N022028| Time: 1.2055| F1: 2| Nodes: 69| NodesWithHelper: 71 | NoOfAreas: 28 / 28
MaxTime (sec): 7.3178| MinTime (sec): 0.60292| AverageTime (sec): 3.8549| TotalTime (min): 1.799
