N004001| Time: 2.4528| F1: 13| Nodes: 138| NodesWithHelper: 149 | NoOfAreas: 1 / 107
N004002| Time: 6.5899| F1: 23| Nodes: 536| NodesWithHelper: 566 | NoOfAreas: 2 / 107
N004003| Time: 0.93624| F1: 1| Nodes: 65| NodesWithHelper: 67 | NoOfAreas: 3 / 107
N004004| Time: 6.7023| F1: 43| Nodes: 523| NodesWithHelper: 568 | NoOfAreas: 4 / 107
N004005| Time: 6.9257| F1: 32| Nodes: 569| NodesWithHelper: 594 | NoOfAreas: 5 / 107
N004006| Time: 7.7893| F1: 62| Nodes: 653| NodesWithHelper: 677 | NoOfAreas: 6 / 107
N004007| Time: 7.9339| F1: 102| Nodes: 619| NodesWithHelper: 668 | NoOfAreas: 7 / 107
N004008| Time: 5.0944| F1: 2| Nodes: 459| NodesWithHelper: 471 | NoOfAreas: 8 / 107
N004009| Time: 7.2078| F1: 12| Nodes: 647| NodesWithHelper: 662 | NoOfAreas: 9 / 107
N004010| Time: 4.103| F1: 2| Nodes: 373| NodesWithHelper: 383 | NoOfAreas: 10 / 107
N004011| Time: 7.1848| F1: 42| Nodes: 668| NodesWithHelper: 688 | NoOfAreas: 11 / 107
N004012| Time: 6.2139| F1: 22| Nodes: 565| NodesWithHelper: 581 | NoOfAreas: 12 / 107
N004013| Time: 2.5765| F1: 2| Nodes: 232| NodesWithHelper: 236 | NoOfAreas: 13 / 107
N004014| Time: 0.9544| F1: 1| Nodes: 69| NodesWithHelper: 69 | NoOfAreas: 14 / 107
N004015| Time: 5.7401| F1: 272| Nodes: 411| NodesWithHelper: 469 | NoOfAreas: 15 / 107
N004016| Time: 7.725| F1: 62| Nodes: 651| NodesWithHelper: 691 | NoOfAreas: 16 / 107
N004017| Time: 1.3858| F1: 2| Nodes: 106| NodesWithHelper: 110 | NoOfAreas: 17 / 107
N004018| Time: 5.1834| F1: 42| Nodes: 446| NodesWithHelper: 468 | NoOfAreas: 18 / 107
N004019| Time: 16.5804| F1: 383| Nodes: 1084| NodesWithHelper: 1169 | NoOfAreas: 19 / 107
N004020| Time: 1.6098| F1: 2| Nodes: 130| NodesWithHelper: 134 | NoOfAreas: 20 / 107
N004021| Time: 2.0707| F1: 42| Nodes: 133| NodesWithHelper: 147 | NoOfAreas: 21 / 107
N004022| Time: 5.0966| F1: 2| Nodes: 461| NodesWithHelper: 482 | NoOfAreas: 22 / 107
N004023| Time: 8.8828| F1: 2| Nodes: 806| NodesWithHelper: 835 | NoOfAreas: 23 / 107
N004024| Time: 7.3245| F1: 52| Nodes: 645| NodesWithHelper: 670 | NoOfAreas: 24 / 107
N004025| Time: 15.1134| F1: 293| Nodes: 926| NodesWithHelper: 996 | NoOfAreas: 25 / 107
N004026| Time: 7.3597| F1: 2| Nodes: 667| NodesWithHelper: 685 | NoOfAreas: 26 / 107
N004027| Time: 8.9519| F1: 12| Nodes: 768| NodesWithHelper: 799 | NoOfAreas: 27 / 107
N004028| Time: 5.6641| F1: 12| Nodes: 487| NodesWithHelper: 511 | NoOfAreas: 28 / 107
N004029| Time: 10.5334| F1: 232| Nodes: 797| NodesWithHelper: 869 | NoOfAreas: 29 / 107
N004030| Time: 6.0476| F1: 2| Nodes: 549| NodesWithHelper: 568 | NoOfAreas: 30 / 107
N004031| Time: 7.0629| F1: 42| Nodes: 590| NodesWithHelper: 620 | NoOfAreas: 31 / 107
N004032| Time: 1.0247| F1: 1| Nodes: 69| NodesWithHelper: 70 | NoOfAreas: 32 / 107
N004033| Time: 8.5654| F1: 112| Nodes: 717| NodesWithHelper: 760 | NoOfAreas: 33 / 107
N004034| Time: 8.1719| F1: 32| Nodes: 679| NodesWithHelper: 721 | NoOfAreas: 34 / 107
N004035| Time: 2.3714| F1: 1| Nodes: 193| NodesWithHelper: 198 | NoOfAreas: 35 / 107
N004036| Time: 4.4089| F1: 103| Nodes: 353| NodesWithHelper: 379 | NoOfAreas: 36 / 107
N004037| Time: 2.4175| F1: 12| Nodes: 206| NodesWithHelper: 221 | NoOfAreas: 37 / 107
N004038| Time: 8.931| F1: 22| Nodes: 770| NodesWithHelper: 799 | NoOfAreas: 38 / 107
N004039| Time: 4.3598| F1: 32| Nodes: 370| NodesWithHelper: 386 | NoOfAreas: 39 / 107
N004040| Time: 8.2064| F1: 243| Nodes: 621| NodesWithHelper: 677 | NoOfAreas: 40 / 107
N004041| Time: 4.7051| F1: 2| Nodes: 415| NodesWithHelper: 433 | NoOfAreas: 41 / 107
N004042| Time: 0.6301| F1: 2| Nodes: 32| NodesWithHelper: 36 | NoOfAreas: 42 / 107
N004043| Time: 2.8897| F1: 2| Nodes: 236| NodesWithHelper: 247 | NoOfAreas: 43 / 107
