N021001| Time: 7.2554| F1: 42| Nodes: 586| NodesWithHelper: 606 | NoOfAreas: 1 / 112
N021002| Time: 7.7878| F1: 22| Nodes: 658| NodesWithHelper: 678 | NoOfAreas: 2 / 112
N021003| Time: 4.9259| F1: 2| Nodes: 395| NodesWithHelper: 397 | NoOfAreas: 3 / 112
N021004| Time: 1.5246| F1: 132| Nodes: 66| NodesWithHelper: 95 | NoOfAreas: 4 / 112
N021005| Time: 11.1553| F1: 32| Nodes: 923| NodesWithHelper: 959 | NoOfAreas: 5 / 112
N021006| Time: 5.8981| F1: 2| Nodes: 509| NodesWithHelper: 518 | NoOfAreas: 6 / 112
N021007| Time: 8.7348| F1: 152| Nodes: 715| NodesWithHelper: 755 | NoOfAreas: 7 / 112
N021008| Time: 7.1185| F1: 1| Nodes: 612| NodesWithHelper: 627 | NoOfAreas: 8 / 112
N021009| Time: 9.4389| F1: 2| Nodes: 800| NodesWithHelper: 813 | NoOfAreas: 9 / 112
N021010| Time: 8.126| F1: 82| Nodes: 675| NodesWithHelper: 696 | NoOfAreas: 10 / 112
N021011| Time: 0.93641| F1: 42| Nodes: 43| NodesWithHelper: 57 | NoOfAreas: 11 / 112
N021012| Time: 5.877| F1: 1| Nodes: 496| NodesWithHelper: 505 | NoOfAreas: 12 / 112
N021013| Time: 3.6746| F1: 2| Nodes: 298| NodesWithHelper: 316 | NoOfAreas: 13 / 112
N021014| Time: 7.8007| F1: 72| Nodes: 610| NodesWithHelper: 650 | NoOfAreas: 14 / 112
N021015| Time: 7.1099| F1: 62| Nodes: 597| NodesWithHelper: 621 | NoOfAreas: 15 / 112
N021016| Time: 8.3394| F1: 12| Nodes: 672| NodesWithHelper: 701 | NoOfAreas: 16 / 112
N021017| Time: 11.4214| F1: 22| Nodes: 927| NodesWithHelper: 958 | NoOfAreas: 17 / 112
N021018| Time: 4.0946| F1: 42| Nodes: 333| NodesWithHelper: 356 | NoOfAreas: 18 / 112
N021019| Time: 10.4327| F1: 2| Nodes: 914| NodesWithHelper: 931 | NoOfAreas: 19 / 112
N021020| Time: 1.9296| F1: 1| Nodes: 155| NodesWithHelper: 157 | NoOfAreas: 20 / 112
N021021| Time: 7.5757| F1: 242| Nodes: 577| NodesWithHelper: 616 | NoOfAreas: 21 / 112
N021022| Time: 4.5118| F1: 22| Nodes: 368| NodesWithHelper: 381 | NoOfAreas: 22 / 112
N021023| Time: 9.6735| F1: 2| Nodes: 815| NodesWithHelper: 829 | NoOfAreas: 23 / 112
N021024| Time: 8.4257| F1: 92| Nodes: 674| NodesWithHelper: 716 | NoOfAreas: 24 / 112
N021025| Time: 8.5576| F1: 82| Nodes: 743| NodesWithHelper: 778 | NoOfAreas: 25 / 112
N021026| Time: 3.5826| F1: 112| Nodes: 263| NodesWithHelper: 289 | NoOfAreas: 26 / 112
N021027| Time: 3.205| F1: 12| Nodes: 274| NodesWithHelper: 281 | NoOfAreas: 27 / 112
N021028| Time: 6.9762| F1: 2| Nodes: 589| NodesWithHelper: 609 | NoOfAreas: 28 / 112
N021029| Time: 8.0686| F1: 72| Nodes: 683| NodesWithHelper: 711 | NoOfAreas: 29 / 112
N021030| Time: 10.5452| F1: 82| Nodes: 849| NodesWithHelper: 899 | NoOfAreas: 30 / 112
N021031| Time: 7.288| F1: 22| Nodes: 580| NodesWithHelper: 605 | NoOfAreas: 31 / 112
N021032| Time: 4.5626| F1: 22| Nodes: 343| NodesWithHelper: 360 | NoOfAreas: 32 / 112
N021033| Time: 9.5277| F1: 52| Nodes: 771| NodesWithHelper: 802 | NoOfAreas: 33 / 112
N021034| Time: 14.5599| F1: 292| Nodes: 1029| NodesWithHelper: 1103 | NoOfAreas: 34 / 112
N021035| Time: 8.2781| F1: 12| Nodes: 719| NodesWithHelper: 743 | NoOfAreas: 35 / 112
N021036| Time: 14.2731| F1: 102| Nodes: 1144| NodesWithHelper: 1185 | NoOfAreas: 36 / 112
N021037| Time: 12.0805| F1: 12| Nodes: 947| NodesWithHelper: 967 | NoOfAreas: 37 / 112
N021038| Time: 7.303| F1: 192| Nodes: 470| NodesWithHelper: 510 | NoOfAreas: 38 / 112
N021039| Time: 11.4731| F1: 1| Nodes: 1031| NodesWithHelper: 1044 | NoOfAreas: 39 / 112
N021040| Time: 2.5786| F1: 1| Nodes: 217| NodesWithHelper: 222 | NoOfAreas: 40 / 112
N021041| Time: 1.3827| F1: 2| Nodes: 89| NodesWithHelper: 98 | NoOfAreas: 41 / 112
N021042| Time: 7.4763| F1: 52| Nodes: 608| NodesWithHelper: 639 | NoOfAreas: 42 / 112
N021043| Time: 1.2815| F1: 2| Nodes: 60| NodesWithHelper: 65 | NoOfAreas: 43 / 112
N021044| Time: 13.3617| F1: 172| Nodes: 969| NodesWithHelper: 1025 | NoOfAreas: 44 / 112
N021045| Time: 12.0213| F1: 152| Nodes: 914| NodesWithHelper: 962 | NoOfAreas: 45 / 112
N021046| Time: 6.5273| F1: 12| Nodes: 581| NodesWithHelper: 595 | NoOfAreas: 46 / 112
N021047| Time: 1.6903| F1: 2| Nodes: 118| NodesWithHelper: 125 | NoOfAreas: 47 / 112
N021048| Time: 3.5794| F1: 1| Nodes: 257| NodesWithHelper: 262 | NoOfAreas: 48 / 112
N021049| Time: 0.80193| F1: 1| Nodes: 49| NodesWithHelper: 49 | NoOfAreas: 49 / 112
N021050| Time: 1.016| F1: 1| Nodes: 57| NodesWithHelper: 62 | NoOfAreas: 50 / 112
N021051| Time: 8.5526| F1: 293| Nodes: 555| NodesWithHelper: 627 | NoOfAreas: 51 / 112
N021052| Time: 4.9026| F1: 2| Nodes: 409| NodesWithHelper: 412 | NoOfAreas: 52 / 112
N021053| Time: 4.426| F1: 1| Nodes: 368| NodesWithHelper: 371 | NoOfAreas: 53 / 112
N021054| Time: 6.5031| F1: 1| Nodes: 560| NodesWithHelper: 564 | NoOfAreas: 54 / 112
N021055| Time: 4.5443| F1: 52| Nodes: 365| NodesWithHelper: 393 | NoOfAreas: 55 / 112
N021056| Time: 2.345| F1: 162| Nodes: 146| NodesWithHelper: 178 | NoOfAreas: 56 / 112
N021057| Time: 2.0712| F1: 2| Nodes: 143| NodesWithHelper: 149 | NoOfAreas: 57 / 112
N021058| Time: 3.3615| F1: 42| Nodes: 272| NodesWithHelper: 288 | NoOfAreas: 58 / 112
N021059| Time: 1.1752| F1: 2| Nodes: 69| NodesWithHelper: 70 | NoOfAreas: 59 / 112
N021060| Time: 3.1162| F1: 2| Nodes: 252| NodesWithHelper: 259 | NoOfAreas: 60 / 112
N021061| Time: 3.7196| F1: 12| Nodes: 268| NodesWithHelper: 288 | NoOfAreas: 61 / 112
