N000001| Time: 14.2826| F1: 52| Nodes: 1155| NodesWithHelper: 1179 | NoOfAreas: 1 / 62
N000002| Time: 12.268| F1: 52| Nodes: 845| NodesWithHelper: 879 | NoOfAreas: 2 / 62
N000003| Time: 17.1957| F1: 152| Nodes: 1080| NodesWithHelper: 1167 | NoOfAreas: 3 / 62
N000004| Time: 13.9393| F1: 132| Nodes: 1026| NodesWithHelper: 1079 | NoOfAreas: 4 / 62
N000005| Time: 19.866| F1: 372| Nodes: 1305| NodesWithHelper: 1400 | NoOfAreas: 5 / 62
N000006| Time: 6.9176| F1: 2| Nodes: 598| NodesWithHelper: 618 | NoOfAreas: 6 / 62
N000007| Time: 1.1655| F1: 1| Nodes: 45| NodesWithHelper: 45 | NoOfAreas: 7 / 62
N000008| Time: 4.869| F1: 1| Nodes: 341| NodesWithHelper: 343 | NoOfAreas: 8 / 62
N000009| Time: 18.7023| F1: 132| Nodes: 1306| NodesWithHelper: 1358 | NoOfAreas: 9 / 62
N000010| Time: 20.6216| F1: 42| Nodes: 1483| NodesWithHelper: 1531 | NoOfAreas: 10 / 62
N000011| Time: 2.5192| F1: 1| Nodes: 222| NodesWithHelper: 223 | NoOfAreas: 11 / 62
N000012| Time: 17.6483| F1: 42| Nodes: 1403| NodesWithHelper: 1447 | NoOfAreas: 12 / 62
N000013| Time: 18.1424| F1: 263| Nodes: 1326| NodesWithHelper: 1399 | NoOfAreas: 13 / 62
N000014| Time: 7.5487| F1: 82| Nodes: 610| NodesWithHelper: 633 | NoOfAreas: 14 / 62
N000015| Time: 3.2893| F1: 73| Nodes: 204| NodesWithHelper: 240 | NoOfAreas: 15 / 62
N000016| Time: 10.4992| F1: 42| Nodes: 915| NodesWithHelper: 946 | NoOfAreas: 16 / 62
N000017| Time: 4.4394| F1: 12| Nodes: 379| NodesWithHelper: 396 | NoOfAreas: 17 / 62
N000018| Time: 12.4453| F1: 192| Nodes: 1051| NodesWithHelper: 1095 | NoOfAreas: 18 / 62
N000019| Time: 24.8529| F1: 273| Nodes: 1625| NodesWithHelper: 1715 | NoOfAreas: 19 / 62
N000020| Time: 9.8744| F1: 2| Nodes: 850| NodesWithHelper: 865 | NoOfAreas: 20 / 62
N000021| Time: 3.2495| F1: 1| Nodes: 291| NodesWithHelper: 295 | NoOfAreas: 21 / 62
N000022| Time: 19.0565| F1: 142| Nodes: 1324| NodesWithHelper: 1394 | NoOfAreas: 22 / 62
N000023| Time: 3.3741| F1: 1| Nodes: 279| NodesWithHelper: 280 | NoOfAreas: 23 / 62
N000024| Time: 6.2432| F1: 12| Nodes: 543| NodesWithHelper: 560 | NoOfAreas: 24 / 62
N000025| Time: 3.6071| F1: 21| Nodes: 304| NodesWithHelper: 310 | NoOfAreas: 25 / 62
N000026| Time: 2.1568| F1: 2| Nodes: 178| NodesWithHelper: 186 | NoOfAreas: 26 / 62
N000027| Time: 1.3975| F1: 1| Nodes: 120| NodesWithHelper: 120 | NoOfAreas: 27 / 62
N000028| Time: 8.2087| F1: 52| Nodes: 720| NodesWithHelper: 738 | NoOfAreas: 28 / 62
N000029| Time: 2.8408| F1: 53| Nodes: 192| NodesWithHelper: 211 | NoOfAreas: 29 / 62
N000030| Time: 3.9267| F1: 12| Nodes: 337| NodesWithHelper: 354 | NoOfAreas: 30 / 62
N000031| Time: 2.7976| F1: 2| Nodes: 230| NodesWithHelper: 240 | NoOfAreas: 31 / 62
