N003001| Time: 3.0111| F1: 2| Nodes: 189| NodesWithHelper: 199 | NoOfAreas: 1 / 90
N003002| Time: 7.2293| F1: 52| Nodes: 575| NodesWithHelper: 605 | NoOfAreas: 2 / 90
N003003| Time: 1.5256| F1: 2| Nodes: 90| NodesWithHelper: 95 | NoOfAreas: 3 / 90
N003004| Time: 1.8629| F1: 2| Nodes: 130| NodesWithHelper: 136 | NoOfAreas: 4 / 90
N003005| Time: 10.0619| F1: 263| Nodes: 699| NodesWithHelper: 775 | NoOfAreas: 5 / 90
N003006| Time: 4.649| F1: 62| Nodes: 374| NodesWithHelper: 406 | NoOfAreas: 6 / 90
N003007| Time: 18.3902| F1: 873| Nodes: 1066| NodesWithHelper: 1196 | NoOfAreas: 7 / 90
N003008| Time: 2.7282| F1: 1| Nodes: 246| NodesWithHelper: 250 | NoOfAreas: 8 / 90
N003009| Time: 6.1053| F1: 122| Nodes: 489| NodesWithHelper: 532 | NoOfAreas: 9 / 90
N003010| Time: 4.3124| F1: 1| Nodes: 398| NodesWithHelper: 402 | NoOfAreas: 10 / 90
N003011| Time: 8.0344| F1: 42| Nodes: 622| NodesWithHelper: 661 | NoOfAreas: 11 / 90
N003012| Time: 4.5856| F1: 62| Nodes: 360| NodesWithHelper: 398 | NoOfAreas: 12 / 90
N003013| Time: 5.2421| F1: 122| Nodes: 427| NodesWithHelper: 449 | NoOfAreas: 13 / 90
N003014| Time: 2.9514| F1: 2| Nodes: 262| NodesWithHelper: 268 | NoOfAreas: 14 / 90
N003015| Time: 4.2301| F1: 42| Nodes: 368| NodesWithHelper: 388 | NoOfAreas: 15 / 90
N003016| Time: 6.3457| F1: 2| Nodes: 560| NodesWithHelper: 579 | NoOfAreas: 16 / 90
N003017| Time: 6.9815| F1: 72| Nodes: 569| NodesWithHelper: 602 | NoOfAreas: 17 / 90
N003018| Time: 3.0923| F1: 2| Nodes: 258| NodesWithHelper: 270 | NoOfAreas: 18 / 90
N003019| Time: 5.0921| F1: 72| Nodes: 449| NodesWithHelper: 465 | NoOfAreas: 19 / 90
N003020| Time: 5.5097| F1: 22| Nodes: 475| NodesWithHelper: 508 | NoOfAreas: 20 / 90
N003021| Time: 5.6967| F1: 32| Nodes: 482| NodesWithHelper: 513 | NoOfAreas: 21 / 90
N003022| Time: 3.7859| F1: 22| Nodes: 338| NodesWithHelper: 348 | NoOfAreas: 22 / 90
N003023| Time: 7.7396| F1: 132| Nodes: 597| NodesWithHelper: 649 | NoOfAreas: 23 / 90
N003024| Time: 4.1569| F1: 12| Nodes: 376| NodesWithHelper: 391 | NoOfAreas: 24 / 90
N003025| Time: 4.9858| F1: 52| Nodes: 427| NodesWithHelper: 453 | NoOfAreas: 25 / 90
N003026| Time: 6.9095| F1: 132| Nodes: 545| NodesWithHelper: 587 | NoOfAreas: 26 / 90
N003027| Time: 1.351| F1: 1| Nodes: 94| NodesWithHelper: 100 | NoOfAreas: 27 / 90
N003028| Time: 5.2982| F1: 52| Nodes: 469| NodesWithHelper: 488 | NoOfAreas: 28 / 90
N003029| Time: 4.4539| F1: 42| Nodes: 399| NodesWithHelper: 420 | NoOfAreas: 29 / 90
N003030| Time: 8.5493| F1: 363| Nodes: 598| NodesWithHelper: 677 | NoOfAreas: 30 / 90
N003031| Time: 16.9822| F1: 693| Nodes: 1063| NodesWithHelper: 1177 | NoOfAreas: 31 / 90
N003032| Time: 6.4228| F1: 152| Nodes: 500| NodesWithHelper: 552 | NoOfAreas: 32 / 90
N003033| Time: 3.476| F1: 62| Nodes: 277| NodesWithHelper: 300 | NoOfAreas: 33 / 90
N003034| Time: 3.5037| F1: 72| Nodes: 294| NodesWithHelper: 312 | NoOfAreas: 34 / 90
N003035| Time: 1.2564| F1: 1| Nodes: 90| NodesWithHelper: 95 | NoOfAreas: 35 / 90
