N010001| Time: 5.3045| F1: 2| Nodes: 418| NodesWithHelper: 427 | NoOfAreas: 1 / 95
N010002| Time: 2.5774| F1: 1| Nodes: 215| NodesWithHelper: 216 | NoOfAreas: 2 / 95
N010003| Time: 8.9139| F1: 233| Nodes: 645| NodesWithHelper: 702 | NoOfAreas: 3 / 95
N010004| Time: 21.4639| F1: 42| Nodes: 1551| NodesWithHelper: 1584 | NoOfAreas: 4 / 95
N010005| Time: 0.65731| F1: 1| Nodes: 8| NodesWithHelper: 8 | NoOfAreas: 5 / 95
N010006| Time: 8.461| F1: 52| Nodes: 713| NodesWithHelper: 735 | NoOfAreas: 6 / 95
N010007| Time: 8.7389| F1: 2| Nodes: 736| NodesWithHelper: 749 | NoOfAreas: 7 / 95
N010008| Time: 10.31| F1: 42| Nodes: 847| NodesWithHelper: 873 | NoOfAreas: 8 / 95
N010009| Time: 7.0921| F1: 42| Nodes: 593| NodesWithHelper: 613 | NoOfAreas: 9 / 95
N010010| Time: 5.4059| F1: 42| Nodes: 437| NodesWithHelper: 455 | NoOfAreas: 10 / 95
N010011| Time: 9.1644| F1: 12| Nodes: 730| NodesWithHelper: 756 | NoOfAreas: 11 / 95
N010012| Time: 3.6751| F1: 2| Nodes: 317| NodesWithHelper: 324 | NoOfAreas: 12 / 95
N010013| Time: 3.4481| F1: 1| Nodes: 304| NodesWithHelper: 308 | NoOfAreas: 13 / 95
N010014| Time: 5.1285| F1: 2| Nodes: 452| NodesWithHelper: 456 | NoOfAreas: 14 / 95
N010015| Time: 3.9836| F1: 1| Nodes: 329| NodesWithHelper: 331 | NoOfAreas: 15 / 95
N010016| Time: 4.7816| F1: 52| Nodes: 416| NodesWithHelper: 429 | NoOfAreas: 16 / 95
N010017| Time: 5.3545| F1: 82| Nodes: 420| NodesWithHelper: 451 | NoOfAreas: 17 / 95
N010018| Time: 2.8616| F1: 21| Nodes: 225| NodesWithHelper: 234 | NoOfAreas: 18 / 95
N010019| Time: 6.5264| F1: 22| Nodes: 512| NodesWithHelper: 547 | NoOfAreas: 19 / 95
N010020| Time: 11.4876| F1: 12| Nodes: 835| NodesWithHelper: 855 | NoOfAreas: 20 / 95
N010021| Time: 5.1952| F1: 212| Nodes: 358| NodesWithHelper: 397 | NoOfAreas: 21 / 95
N010022| Time: 11.4472| F1: 142| Nodes: 891| NodesWithHelper: 917 | NoOfAreas: 22 / 95
N010023| Time: 2.6533| F1: 82| Nodes: 183| NodesWithHelper: 196 | NoOfAreas: 23 / 95
N010024| Time: 6.1547| F1: 102| Nodes: 505| NodesWithHelper: 532 | NoOfAreas: 24 / 95
N010025| Time: 7.93| F1: 52| Nodes: 659| NodesWithHelper: 680 | NoOfAreas: 25 / 95
N010026| Time: 6.3364| F1: 11| Nodes: 548| NodesWithHelper: 565 | NoOfAreas: 26 / 95
N010027| Time: 14.6357| F1: 112| Nodes: 1121| NodesWithHelper: 1166 | NoOfAreas: 27 / 95
