N027001| Time: 4.0169| F1: 2| Nodes: 285| NodesWithHelper: 297 | NoOfAreas: 1 / 110
N027002| Time: 0.9707| F1: 1| Nodes: 54| NodesWithHelper: 54 | NoOfAreas: 2 / 110
N027003| Time: 5.9942| F1: 132| Nodes: 435| NodesWithHelper: 475 | NoOfAreas: 3 / 110
N027004| Time: 5.9258| F1: 2| Nodes: 473| NodesWithHelper: 491 | NoOfAreas: 4 / 110
N027005| Time: 9.2369| F1: 102| Nodes: 541| NodesWithHelper: 581 | NoOfAreas: 5 / 110
N027006| Time: 12.2041| F1: 142| Nodes: 821| NodesWithHelper: 851 | NoOfAreas: 6 / 110
N027007| Time: 12.1951| F1: 162| Nodes: 899| NodesWithHelper: 953 | NoOfAreas: 7 / 110
N027008| Time: 7.6957| F1: 62| Nodes: 605| NodesWithHelper: 626 | NoOfAreas: 8 / 110
N027009| Time: 1.0965| F1: 2| Nodes: 71| NodesWithHelper: 73 | NoOfAreas: 9 / 110
N027010| Time: 5.2203| F1: 2| Nodes: 407| NodesWithHelper: 420 | NoOfAreas: 10 / 110
N027011| Time: 3.5051| F1: 2| Nodes: 290| NodesWithHelper: 295 | NoOfAreas: 11 / 110
N027012| Time: 12.6047| F1: 172| Nodes: 992| NodesWithHelper: 1017 | NoOfAreas: 12 / 110
N027013| Time: 4.1813| F1: 52| Nodes: 315| NodesWithHelper: 342 | NoOfAreas: 13 / 110
N027014| Time: 12.4496| F1: 92| Nodes: 856| NodesWithHelper: 916 | NoOfAreas: 14 / 110
N027015| Time: 7.1685| F1: 22| Nodes: 598| NodesWithHelper: 619 | NoOfAreas: 15 / 110
N027016| Time: 9.7878| F1: 32| Nodes: 763| NodesWithHelper: 781 | NoOfAreas: 16 / 110
N027017| Time: 3.7731| F1: 42| Nodes: 296| NodesWithHelper: 310 | NoOfAreas: 17 / 110
N027018| Time: 5.5614| F1: 1| Nodes: 384| NodesWithHelper: 390 | NoOfAreas: 18 / 110
N027019| Time: 6.4576| F1: 12| Nodes: 502| NodesWithHelper: 517 | NoOfAreas: 19 / 110
N027020| Time: 18.3807| F1: 92| Nodes: 1247| NodesWithHelper: 1279 | NoOfAreas: 20 / 110
N027021| Time: 7.2726| F1: 102| Nodes: 523| NodesWithHelper: 556 | NoOfAreas: 21 / 110
N027022| Time: 10.4976| F1: 2| Nodes: 842| NodesWithHelper: 862 | NoOfAreas: 22 / 110
N027023| Time: 4.6537| F1: 12| Nodes: 398| NodesWithHelper: 414 | NoOfAreas: 23 / 110
N027024| Time: 3.8346| F1: 2| Nodes: 314| NodesWithHelper: 330 | NoOfAreas: 24 / 110
N027025| Time: 11.8758| F1: 312| Nodes: 872| NodesWithHelper: 939 | NoOfAreas: 25 / 110
N027026| Time: 1.4649| F1: 1| Nodes: 108| NodesWithHelper: 108 | NoOfAreas: 26 / 110
N027027| Time: 8.8061| F1: 2| Nodes: 732| NodesWithHelper: 750 | NoOfAreas: 27 / 110
N027028| Time: 12.2759| F1: 132| Nodes: 926| NodesWithHelper: 986 | NoOfAreas: 28 / 110
N027029| Time: 9.5018| F1: 12| Nodes: 790| NodesWithHelper: 816 | NoOfAreas: 29 / 110
N027030| Time: 8.7922| F1: 82| Nodes: 703| NodesWithHelper: 742 | NoOfAreas: 30 / 110
N027031| Time: 3.8623| F1: 32| Nodes: 290| NodesWithHelper: 304 | NoOfAreas: 31 / 110
N027032| Time: 13.7997| F1: 132| Nodes: 1052| NodesWithHelper: 1109 | NoOfAreas: 32 / 110
N027033| Time: 5.3887| F1: 102| Nodes: 421| NodesWithHelper: 451 | NoOfAreas: 33 / 110
N027034| Time: 5.0216| F1: 82| Nodes: 389| NodesWithHelper: 416 | NoOfAreas: 34 / 110
N027035| Time: 19.3787| F1: 82| Nodes: 1332| NodesWithHelper: 1390 | NoOfAreas: 35 / 110
N027036| Time: 14.6174| F1: 152| Nodes: 1125| NodesWithHelper: 1166 | NoOfAreas: 36 / 110
N027037| Time: 8.3712| F1: 82| Nodes: 659| NodesWithHelper: 692 | NoOfAreas: 37 / 110
N027038| Time: 10.3302| F1: 162| Nodes: 752| NodesWithHelper: 811 | NoOfAreas: 38 / 110
N027039| Time: 13.9104| F1: 72| Nodes: 1073| NodesWithHelper: 1106 | NoOfAreas: 39 / 110
N027040| Time: 3.7278| F1: 12| Nodes: 298| NodesWithHelper: 307 | NoOfAreas: 40 / 110
N027041| Time: 2.542| F1: 12| Nodes: 214| NodesWithHelper: 219 | NoOfAreas: 41 / 110
N027042| Time: 4.9506| F1: 162| Nodes: 412| NodesWithHelper: 433 | NoOfAreas: 42 / 110
N027043| Time: 3.7787| F1: 53| Nodes: 259| NodesWithHelper: 290 | NoOfAreas: 43 / 110
N027044| Time: 9.4908| F1: 32| Nodes: 789| NodesWithHelper: 819 | NoOfAreas: 44 / 110
N027045| Time: 3.5017| F1: 2| Nodes: 291| NodesWithHelper: 301 | NoOfAreas: 45 / 110
N027046| Time: 6.4709| F1: 132| Nodes: 498| NodesWithHelper: 541 | NoOfAreas: 46 / 110
N027047| Time: 7.8016| F1: 12| Nodes: 628| NodesWithHelper: 648 | NoOfAreas: 47 / 110
N027048| Time: 0.84545| F1: 2| Nodes: 54| NodesWithHelper: 56 | NoOfAreas: 48 / 110
N027049| Time: 6.5187| F1: 72| Nodes: 520| NodesWithHelper: 541 | NoOfAreas: 49 / 110
N027050| Time: 7.9889| F1: 52| Nodes: 642| NodesWithHelper: 667 | NoOfAreas: 50 / 110
N027051| Time: 10.0594| F1: 32| Nodes: 823| NodesWithHelper: 858 | NoOfAreas: 51 / 110
