N013001| Time: 9.3375| F1: 61| Nodes: 560| NodesWithHelper: 582 | NoOfAreas: 1 / 73
N013002| Time: 13.2983| F1: 72| Nodes: 808| NodesWithHelper: 846 | NoOfAreas: 2 / 73
N013003| Time: 8.8305| F1: 22| Nodes: 553| NodesWithHelper: 565 | NoOfAreas: 3 / 73
N013004| Time: 10.1049| F1: 101| Nodes: 599| NodesWithHelper: 631 | NoOfAreas: 4 / 73
N013005| Time: 8.7451| F1: 1| Nodes: 554| NodesWithHelper: 558 | NoOfAreas: 5 / 73
N013006| Time: 5.6728| F1: 1| Nodes: 371| NodesWithHelper: 381 | NoOfAreas: 6 / 73
N013007| Time: 0.494| F1: 2| Nodes: 6| NodesWithHelper: 6 | NoOfAreas: 7 / 73
N013008| Time: 26.8465| F1: 302| Nodes: 1328| NodesWithHelper: 1395 | NoOfAreas: 8 / 73
N013009| Time: 14.2436| F1: 182| Nodes: 811| NodesWithHelper: 853 | NoOfAreas: 9 / 73
N013010| Time: 7.2961| F1: 82| Nodes: 461| NodesWithHelper: 482 | NoOfAreas: 10 / 73
N013011| Time: 9.2732| F1: 12| Nodes: 592| NodesWithHelper: 615 | NoOfAreas: 11 / 73
N013012| Time: 7.8735| F1: 112| Nodes: 486| NodesWithHelper: 505 | NoOfAreas: 12 / 73
N013013| Time: 15.2043| F1: 222| Nodes: 884| NodesWithHelper: 931 | NoOfAreas: 13 / 73
N013014| Time: 6.7329| F1: 41| Nodes: 444| NodesWithHelper: 456 | NoOfAreas: 14 / 73
N013015| Time: 5.124| F1: 52| Nodes: 271| NodesWithHelper: 280 | NoOfAreas: 15 / 73
N013016| Time: 7.4584| F1: 52| Nodes: 372| NodesWithHelper: 393 | NoOfAreas: 16 / 73
N013017| Time: 11.4966| F1: 2| Nodes: 746| NodesWithHelper: 767 | NoOfAreas: 17 / 73
N013018| Time: 6.5366| F1: 42| Nodes: 412| NodesWithHelper: 428 | NoOfAreas: 18 / 73
N013019| Time: 5.8245| F1: 42| Nodes: 366| NodesWithHelper: 380 | NoOfAreas: 19 / 73
N013020| Time: 17.8106| F1: 142| Nodes: 1049| NodesWithHelper: 1100 | NoOfAreas: 20 / 73
N013021| Time: 5.7562| F1: 2| Nodes: 378| NodesWithHelper: 392 | NoOfAreas: 21 / 73
N013022| Time: 9.6368| F1: 12| Nodes: 643| NodesWithHelper: 670 | NoOfAreas: 22 / 73
N013023| Time: 19.8308| F1: 332| Nodes: 1075| NodesWithHelper: 1132 | NoOfAreas: 23 / 73
N013024| Time: 7.6991| F1: 112| Nodes: 475| NodesWithHelper: 500 | NoOfAreas: 24 / 73
